,id,title,genres,averageRating,numVotes,releaseYear,idjw
0,tt0111161,The Shawshank Redemption,Drama,9.3,3042748,1994,tm119206
1,tt0068646,The Godfather,"Crime, Drama",9.2,2124114,1972,tm155580
3,tt33175825,Attack on Titan the Movie: The Last Attack,"Action, Adventure, Animation",9.2,16329,2024,tm1523711
5,tt0468569,The Dark Knight,"Action, Crime, Drama",9.0,3019793,2008,tm56184
6,tt0167260,The Lord of the Rings: The Return of the King,"Adventure, Drama, Fantasy",9.0,2076994,2003,tm142381
7,tt0108052,Schindler's List,"Biography, Drama, History",9.0,1521787,1993,tm188361
8,tt0071562,The Godfather Part II,"Crime, Drama",9.0,1428736,1974,tm112061
9,tt0050083,12 Angry Men,"Crime, Drama",9.0,924651,1957,tm1962
11,tt0110912,Pulp Fiction,"Crime, Drama",8.9,2333671,1994,tm112130
12,tt0120737,The Lord of the Rings: The Fellowship of the Ring,"Adventure, Drama, Fantasy",8.9,2106913,2001,tm44313
13,tt5354160,Mirror Game,"Crime, Mystery, Thriller",8.9,30470,2016,tm267056
15,tt5275892,O.J.: Made in America,"Biography, Crime, Documentary",8.9,23122,2016,tm233000
17,tt1375666,Inception,"Action, Adventure, Sci-Fi",8.8,2682224,2010,tm92641
18,tt0137523,Fight Club,"Crime, Drama, Thriller",8.8,2463778,1999,tm42409
19,tt0109830,Forrest Gump,"Drama, Romance",8.8,2378238,1994,tm122434
20,tt0167261,The Lord of the Rings: The Two Towers,"Adventure, Drama, Fantasy",8.8,1872780,2002,tm115982
21,tt0060196,"The Good, the Bad and the Ugly","Adventure, Western",8.8,852643,1966,tm71121
22,tt23849204,12th Fail,"Biography, Drama",8.8,147523,2023,tm1358403
27,tt33428606,Solo Leveling: ReAwakening,"Action, Adventure, Animation",8.8,12848,2024,tm1535547
28,tt2077886,The Phantom of the Opera at the Royal Albert Hall,"Drama, Musical, Romance",8.8,10415,2011,tm170379
29,tt0816692,Interstellar,"Adventure, Drama, Sci-Fi",8.7,2343902,2014,tm157099
30,tt0133093,The Matrix,"Action, Sci-Fi",8.7,2154943,1999,tm10
31,tt0080684,Star Wars: Episode V - The Empire Strikes Back,"Action, Adventure, Fantasy",8.7,1440813,1980,tm2
32,tt0099685,Goodfellas,"Biography, Crime, Drama",8.7,1325249,1990,tm155787
33,tt0073486,One Flew Over the Cuckoo's Nest,Drama,8.7,1116104,1975,tm127410
34,tt15097216,Jai Bhim,"Crime, Drama",8.7,225654,2021,tm1108724
35,tt7466810,777 Charlie,"Adventure, Comedy, Drama",8.7,43157,2022,tm513279
37,tt0088178,Stop Making Sense,"Documentary, Music",8.7,22668,1984,tm174490
39,tt8176054,Pariyerum Perumal,Drama,8.7,19513,2018,tm325150
45,tt0214915,Manichithrathazhu,"Comedy, Horror, Mystery",8.7,13534,1993,tm189339
46,tt8737152,Toma,"Biography, Drama, Music",8.7,12974,2021,tm949458
48,tt0090015,Shoah,"Documentary, History, War",8.7,11107,1985,tm122247
49,tt0114369,Se7en,"Crime, Drama, Mystery",8.6,1910461,1995,tm15897
50,tt0102926,The Silence of the Lambs,"Crime, Drama, Horror",8.6,1634684,1991,tm8843
51,tt0120815,Saving Private Ryan,"Drama, War",8.6,1569442,1998,tm57554
52,tt0076759,Star Wars: Episode IV - A New Hope,"Action, Adventure, Fantasy",8.6,1508018,1977,tm1
53,tt0120689,The Green Mile,"Crime, Drama, Fantasy",8.6,1484989,1999,tm54285
54,tt0103064,Terminator 2: Judgment Day,"Action, Adventure, Sci-Fi",8.6,1232253,1991,tm8613
55,tt0245429,Spirited Away,"Adventure, Animation, Family",8.6,909853,2001,tm48297
56,tt0317248,City of God,"Crime, Drama",8.6,837128,2002,tm119115
57,tt0118799,Life Is Beautiful,"Comedy, Drama, Romance",8.6,777965,1997,tm191045
58,tt0038650,It's a Wonderful Life,"Drama, Family, Fantasy",8.6,527521,1946,tm87233
59,tt0047478,Seven Samurai,"Action, Drama",8.6,383836,1954,tm18043
60,tt10189514,Soorarai Pottru,Drama,8.6,127726,2020,tm810763
61,tt0056058,Harakiri,"Drama, Mystery",8.6,79571,1962,tm10087
62,tt9263550,Rocketry: The Nambi Effect,"Biography, Drama",8.6,60547,2022,tm490258
72,tt0069090,Pink Floyd: Live at Pompeii,"Documentary, Music",8.6,10800,1972,tm157289
74,tt1853728,Django Unchained,Western,8.5,1790743,2012,tm41792
75,tt0172495,Gladiator,"Action, Adventure, Drama",8.5,1759104,2000,tm28142
76,tt0482571,The Prestige,"Drama, Mystery, Sci-Fi",8.5,1514171,2006,tm22747
77,tt0407887,The Departed,"Crime, Drama, Thriller",8.5,1487278,2006,tm27911
78,tt0088763,Back to the Future,"Adventure, Comedy, Sci-Fi",8.5,1377218,1985,tm129449
79,tt0110413,Léon: The Professional,"Action, Crime, Drama",8.5,1302392,1994,tm116655
80,tt0120586,American History X,"Crime, Drama",8.5,1230811,1998,tm63565
81,tt0110357,The Lion King,"Adventure, Animation, Drama",8.5,1203057,1994,tm113629
82,tt0114814,The Usual Suspects,"Crime, Drama, Mystery",8.5,1189452,1995,tm7320
83,tt2582802,Whiplash,"Drama, Music",8.5,1073636,2014,tm158646
84,tt6751668,Parasite,"Drama, Thriller",8.5,1061679,2019,tm414170
85,tt0078748,Alien,"Horror, Sci-Fi",8.5,1015624,1979,tm72398
86,tt1675434,The Intouchables,"Comedy, Drama",8.5,978030,2011,tm174605
87,tt0253474,The Pianist,"Biography, Drama, Music",8.5,967843,2002,tm114752
