,id,title,type,genres,averageRating,numVotes,releaseYear,idjw,NbDiff,ClassifImdb,Diffuseur,SVOD,ClassificationSVOD
0,tt0944947,Game of Thrones,tvSeries,"Action, Adventure, Drama",9.2,2433876.0,2011.0,ts2,3.0,12,https://app.primevideo.com/detail?gti=amzn1.dv.gti.eeb636ff-9e45-9d69-b5f3-91dd85e00fd4,Prime Video,18+
1,tt0944947,Game of Thrones,tvSeries,"Action, Adventure, Drama",9.2,2433876.0,2011.0,ts2,3.0,12,https://www.mycanal.fr/series/game-of-thrones/h/40425877_50889,MyCanal,-16
2,tt0944947,Game of Thrones,tvSeries,"Action, Adventure, Drama",9.2,2433876.0,2011.0,ts2,3.0,12,https://play.max.com/video/watch/83eca32a-12d2-4e05-8245-e17855c9e390?utm_source=universal_search,MAX,
3,tt0903747,Breaking Bad,tvSeries,"Crime, Drama, Thriller",9.5,2331384.0,2008.0,ts4,1.0,tous publics::(with warning),https://www.netflix.com/title/70143836,Netflix,16+
4,tt4574334,Stranger Things,tvSeries,"Drama, Fantasy, Horror",8.6,1446016.0,2016.0,ts38796,1.0,16::(self-applied),https://www.netflix.com/title/80057281,Netflix,16+
5,tt0108778,Friends,tvSeries,"Comedy, Romance",8.9,1144541.0,1994.0,ts21698,3.0,tous publics,https://play.max.com/video/watch/0e33e070-5a45-425a-b655-9d7a7a6658ba?utm_source=universal_search,MAX,
6,tt0108778,Friends,tvSeries,"Comedy, Romance",8.9,1144541.0,1994.0,ts21698,3.0,tous publics,https://www.mycanal.fr/series/friends/h/40492180_50889,MyCanal,-10
7,tt0108778,Friends,tvSeries,"Comedy, Romance",8.9,1144541.0,1994.0,ts21698,3.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.784c2427-0f15-4da4-8949-aa9bf384be68,Prime Video,TOUS PUBLICS
8,tt1520211,The Walking Dead,tvSeries,"Drama, Horror, Thriller",8.1,1142193.0,2010.0,ts9,1.0,16,https://www.netflix.com/title/70177057,Netflix,18+
9,tt1475582,Sherlock,tvSeries,"Crime, Drama, Mystery",9.0,1048301.0,2010.0,ts21538,2.0,tous publics,https://www.netflix.com/title/70202589,Netflix,13+
10,tt1475582,Sherlock,tvSeries,"Crime, Drama, Mystery",9.0,1048301.0,2010.0,ts21538,2.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.25fbee69-ed93-4cca-bab4-c8f9f4d3f998,Prime Video,16+
11,tt7366338,Chernobyl,tvMiniSeries,"Drama, History, Thriller",9.3,949728.0,2019.0,ts88632,3.0,12,https://play.max.com/video/watch/21acd328-6298-4928-bb08-e926d776f63d?utm_source=universal_search,MAX,
12,tt7366338,Chernobyl,tvMiniSeries,"Drama, History, Thriller",9.3,949728.0,2019.0,ts88632,3.0,12,https://app.primevideo.com/detail?gti=amzn1.dv.gti.e64942d3-2bb8-438f-adb2-3e5c2b4f48b2,Prime Video,18+
13,tt7366338,Chernobyl,tvMiniSeries,"Drama, History, Thriller",9.3,949728.0,2019.0,ts88632,3.0,12,https://www.mycanal.fr/series/chernobyl/h/40436206_50889,MyCanal,-12
14,tt0898266,The Big Bang Theory,tvSeries,"Comedy, Romance",8.1,908002.0,2007.0,ts12,3.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.87e8bf22-e8c4-4b2a-9bcb-3b809deaf055,Prime Video,TOUS PUBLICS
15,tt0898266,The Big Bang Theory,tvSeries,"Comedy, Romance",8.1,908002.0,2007.0,ts12,3.0,tous publics,https://www.mycanal.fr/series/the-big-bang-theory/h/40422267_50889,MyCanal,-12
16,tt0898266,The Big Bang Theory,tvSeries,"Comedy, Romance",8.1,908002.0,2007.0,ts12,3.0,tous publics,https://play.max.com/video/watch/da61aef2-e4b6-441a-b2aa-91855ca05dad?utm_source=universal_search,MAX,
17,tt0773262,Dexter,tvSeries,"Crime, Drama, Mystery",8.6,843967.0,2006.0,ts10620,3.0,12,https://www.primevideo.com/detail/0MZFO9CZW2OOYPKLWW8P6NKD0O,Prime Video,18+
19,tt0773262,Dexter,tvSeries,"Crime, Drama, Mystery",8.6,843967.0,2006.0,ts10620,3.0,12,https://www.paramountplus.com/shows/dexter/video/_1ssUsDXSuoUUyItv1b5sLDoihEEC6v0/dexter-dexter?searchReferral=,Paramount+,18
20,tt0773262,Dexter,tvSeries,"Crime, Drama, Mystery",8.6,843967.0,2006.0,ts10620,3.0,12,https://tv.apple.com/fr/show/dexter/umc.cmc.2w8cp3aur89y8id4cfk2engfu?at=1000l3V2&ct=app_tv&itscg=30200&itsct=justwatch_tv_12,AppleTV+,-18
21,tt1190634,The Boys,tvSeries,"Action, Comedy, Crime",8.6,777469.0,2019.0,ts78125,1.0,18,https://app.primevideo.com/detail?gti=amzn1.dv.gti.9ab600aa-6625-b547-cfc0-190e3ad8a27d,Prime Video,18+
22,tt0386676,The Office,tvSeries,Comedy,9.0,775241.0,2005.0,ts21621,2.0,13::(self-applied),https://app.primevideo.com/detail?gti=amzn1.dv.gti.e8b0291b-34a6-d376-9732-9616a6f352c6,Prime Video,16+
23,tt0386676,The Office,tvSeries,Comedy,9.0,775241.0,2005.0,ts21621,2.0,13::(self-applied),https://www.netflix.com/title/70136120,Netflix,13+
24,tt0460649,How I Met Your Mother,tvSeries,"Comedy, Drama, Romance",8.3,759250.0,2005.0,ts21483,1.0,tous publics,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fhow-i-met-your-mother%2F3kpBeRQiKjkq&subId3=justappsvod,Disney+,14+
25,tt3032476,Better Call Saul,tvSeries,"Crime, Drama",9.0,732065.0,2015.0,ts8,1.0,tous publics avec avertissement,https://www.netflix.com/title/80021955,Netflix,16+
26,tt2442560,Peaky Blinders,tvSeries,"Crime, Drama",8.7,711860.0,2013.0,ts20110,2.0,10::(with warning),https://app.primevideo.com/detail?gti=amzn1.dv.gti.24b8776e-16e0-e3e3-67e8-b144e97d7728,Prime Video,18+
27,tt2442560,Peaky Blinders,tvSeries,"Crime, Drama",8.7,711860.0,2013.0,ts20110,2.0,10::(with warning),https://www.netflix.com/title/80002479,Netflix,16+
28,tt2356777,True Detective,tvSeries,"Crime, Drama, Mystery",8.9,703173.0,2014.0,ts20054,3.0,12,https://play.max.com/video/watch/f61493d3-3adf-4b4a-b87d-563d377a88ac?utm_source=universal_search,MAX,
29,tt2356777,True Detective,tvSeries,"Crime, Drama, Mystery",8.9,703173.0,2014.0,ts20054,3.0,12,https://www.mycanal.fr/series/true-detective/h/40439553_50889,MyCanal,-16
30,tt2356777,True Detective,tvSeries,"Crime, Drama, Mystery",8.9,703173.0,2014.0,ts20054,3.0,12,https://app.primevideo.com/detail?gti=amzn1.dv.gti.8b96ae49-3860-49a5-8d15-7bd50c2ef008,Prime Video,18+
31,tt2085059,Black Mirror,tvSeries,"Crime, Drama, Mystery",8.7,693782.0,2011.0,ts278,1.0,16,https://www.netflix.com/title/70264888,Netflix,16+
32,tt10919420,Squid Game,tvSeries,"Action, Drama, Mystery",8.0,663345.0,2021.0,ts220305,1.0,16::(self-applied),https://www.netflix.com/title/81040344,Netflix,16+
33,tt3581920,The Last of Us,tvSeries,"Action, Adventure, Drama",8.6,656337.0,2023.0,ts226904,3.0,16::(self-applied),https://play.max.com/video/watch/dae9e532-3714-4f2e-b758-fb9a13def902?utm_source=universal_search,MAX,
34,tt3581920,The Last of Us,tvSeries,"Action, Adventure, Drama",8.6,656337.0,2023.0,ts226904,3.0,16::(self-applied),https://app.primevideo.com/detail?gti=amzn1.dv.gti.4da38bd7-53a9-4fde-8a33-6bf9f9f9d116,Prime Video,16+
35,tt3581920,The Last of Us,tvSeries,"Action, Adventure, Drama",8.6,656337.0,2023.0,ts226904,3.0,16::(self-applied),https://www.mycanal.fr/series/the-last-of-us/h/40427679_50889,MyCanal,-16
36,tt2861424,Rick and Morty,tvSeries,"Adventure, Animation, Comedy",9.1,650189.0,2013.0,ts20233,4.0,12,https://www.mycanal.fr/series/rick-and-morty/h/40421495_50889,MyCanal,-16
37,tt2861424,Rick and Morty,tvSeries,"Adventure, Animation, Comedy",9.1,650189.0,2013.0,ts20233,4.0,12,https://www.netflix.com/title/80014749,Netflix,16+
38,tt2861424,Rick and Morty,tvSeries,"Adventure, Animation, Comedy",9.1,650189.0,2013.0,ts20233,4.0,12,https://app.primevideo.com/detail?gti=amzn1.dv.gti.7e026005-b261-4750-97ac-72da097d3437,Prime Video,16+
39,tt2861424,Rick and Morty,tvSeries,"Adventure, Animation, Comedy",9.1,650189.0,2013.0,ts20233,4.0,12,https://play.max.com/video/watch/ef7d1c40-2ecc-471a-81a5-7fe06400240a?utm_source=universal_search,MAX,
40,tt0411008,Lost,tvSeries,"Adventure, Drama, Fantasy",8.3,641221.0,2004.0,ts21848,2.0,tous publics,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Flost-les-disparus%2F49VjIYAiy7oh&subId3=justappsvod,Disney+,16+
41,tt0411008,Lost,tvSeries,"Adventure, Drama, Fantasy",8.3,641221.0,2004.0,ts21848,2.0,tous publics,https://www.netflix.com/title/70136118,Netflix,16+
42,tt0455275,Prison Break,tvSeries,"Action, Crime, Drama",8.3,627772.0,2005.0,ts21422,3.0,tous publics,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fprison-break%2F7O2SFMVATNe5&subId3=justappsvod,Disney+,16+
43,tt0455275,Prison Break,tvSeries,"Action, Crime, Drama",8.3,627772.0,2005.0,ts21422,3.0,tous publics,https://app.molotov.tv/channel/45/program/42000,MolotovTV,
44,tt0455275,Prison Break,tvSeries,"Action, Crime, Drama",8.3,627772.0,2005.0,ts21422,3.0,tous publics,https://www.netflix.com/title/70140425,Netflix,16+
45,tt8111088,The Mandalorian,tvSeries,"Action, Adventure, Fantasy",8.6,625351.0,2019.0,ts84392,1.0,tous publics,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fthe-mandalorian%2F3jLIGMDYINqD&subId3=justappsvod,Disney+,14+
46,tt10048342,The Queen's Gambit,tvMiniSeries,Drama,8.5,617462.0,2020.0,ts89259,1.0,16::(self-applied),https://www.netflix.com/title/80234304,Netflix,16+
47,tt2306299,Vikings,tvSeries,"Action, Adventure, Drama",8.5,617302.0,2013.0,ts22413,1.0,12,https://www.netflix.com/title/70301870,Netflix,16+
48,tt2560140,Attack on Titan,tvSeries,"Action, Adventure, Animation",9.1,610714.0,2013.0,ts20682,5.0,16::(dvd rating),https://animationdigitalnetwork.com/video/662-attaque-des-titans-shingeki-no-kyojin/13074-episode-2,ADN,
49,tt2560140,Attack on Titan,tvSeries,"Action, Adventure, Animation",9.1,610714.0,2013.0,ts20682,5.0,16::(dvd rating),https://www.netflix.com/title/70299043,Netflix,16+
50,tt2560140,Attack on Titan,tvSeries,"Action, Adventure, Animation",9.1,610714.0,2013.0,ts20682,5.0,16::(dvd rating),https://app.primevideo.com/detail?gti=amzn1.dv.gti.28a9f684-21e7-1820-db3f-87f21a0dd1a5,Prime Video,18+
