id,title,type,genres,averageRating,numVotes,releaseYear,idjw,NbDiff,Diffuseur(s)
tt0111161,The Shawshank Redemption,movie,Drama,9.3,3044564.0,1994.0,tm119206,3.0,"['https://www.mycanal.fr/cinema/les-evades/h/40436199_50889', 'https://play.max.com/show/9b4dacba-2f80-4272-aac7-bb5e2ae91343?utm_source=universal_search', 'https://app.primevideo.com/detail?gti=amzn1.dv.gti.20b4c3cf-b703-aebb-41bd-0dc683f8c0c8']"
tt0468569,The Dark Knight,movie,"Action, Crime, Drama",9.0,3021134.0,2008.0,tm56184,2.0,"['https://app.primevideo.com/detail?gti=amzn1.dv.gti.18b7edbe-a800-19a8-45b5-c1804b71a7a5', 'https://play.max.com/show/52217243-a137-45d6-9c6a-0dfab4633034?utm_source=universal_search']"
tt1375666,Inception,movie,"Action, Adventure, Sci-Fi",8.8,2684072.0,2010.0,tm92641,4.0,"['https://app.primevideo.com/detail?gti=amzn1.dv.gti.6974454d-3b83-4093-881b-d218cc43adb5', 'https://play.max.com/show/14552c93-d318-4563-a00b-343df7e35d0b?utm_source=universal_search', 'https://app.primevideo.com/detail?gti=amzn1.dv.gti.5ca9f69c-796e-2320-e56f-f758fa5957b5', 'https://www.mycanal.fr/cinema/inception/h/40442683_50889']"
tt0137523,Fight Club,movie,"Crime, Drama, Thriller",8.8,2465169.0,1999.0,tm42409,1.0,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fmovies%2Ffight-club%2F38HCX4uW3BlA&subId3=justappsvod']
tt0109830,Forrest Gump,movie,"Drama, Romance",8.8,2379299.0,1994.0,tm122434,2.0,"['https://www.paramountplus.com/movies/forrest-gump/ms2eMPRyXDpOLCITPSn8wW_7ZdQ6g9dV?searchReferral=', 'https://app.primevideo.com/detail?gti=amzn1.dv.gti.d2a9f65f-019a-dc2a-9f03-e9b342352bac']"
tt0816692,Interstellar,movie,"Adventure, Drama, Sci-Fi",8.7,2345627.0,2014.0,tm157099,3.0,"['https://www.netflix.com/title/70305903', 'https://play.max.com/show/aa5b9295-8f9c-44f5-809b-3f2b84badfbf?utm_source=universal_search', 'https://app.primevideo.com/detail?gti=amzn1.dv.gti.b4a9f7c6-5def-7e63-9aa7-df38a479333e']"
tt0110912,Pulp Fiction,movie,"Crime, Drama",8.8,2334909.0,1994.0,tm112130,1.0,['https://tv.apple.com/fr/movie/pulp-fiction/umc.cmc.1hfvw2p79f9qdeydow8nmrn7t?at=1000l3V2&ct=app_tv&itscg=30200&itsct=justwatch_tv_12&playableId=tvs.sbd.9001%3A1540355933']
tt0133093,The Matrix,movie,"Action, Sci-Fi",8.7,2156057.0,1999.0,tm10,3.0,"['https://app.primevideo.com/detail?gti=amzn1.dv.gti.dea9f6b7-e0a0-38c9-7467-d6079c6fb4f0', 'https://www.mycanal.fr/cinema/matrix/h/40442430_50889', 'https://play.max.com/show/012cacbd-5893-4379-b7a6-d3737c61d4b5?utm_source=universal_search']"
tt0068646,The Godfather,movie,"Crime, Drama",9.2,2125282.0,1972.0,tm155580,3.0,"['https://app.primevideo.com/detail?gti=amzn1.dv.gti.64a9f786-efb1-28d3-bf27-6038d12cc53a', 'https://www.paramountplus.com/movies/godfather/gUufhVPlJy5i5HLTbS8li1LruEeMH_3x?searchReferral=', 'https://tv.apple.com/fr/movie/le-parrain/umc.cmc.3ew9fykdnpfaq9t2jq5da011c?at=1000l3V2&ct=app_tv&itscg=30200&itsct=justwatch_tv_12&playableId=tvs.sbd.9001%3A364918770']"
tt0120737,The Lord of the Rings: The Fellowship of the Ring,movie,"Adventure, Drama, Fantasy",8.9,2107957.0,2001.0,tm44313,1.0,['https://app.primevideo.com/detail?gti=amzn1.dv.gti.18874f28-ed2b-4235-a4ef-bd1f9af589cc']
