,id,title,CodePays
0,tt0111161,The Shawshank Redemption,'us'
3,tt0468569,The Dark Knight,"'us', 'gb'"
5,tt1375666,Inception,"'us', 'gb'"
9,tt0137523,Fight Club,"'de', 'us'"
10,tt0109830,Forrest Gump,'us'
12,tt0816692,Interstellar,"'us', 'gb', 'ca'"
15,tt0110912,Pulp Fiction,'us'
16,tt0133093,The Matrix,"'us', 'au'"
19,tt0068646,The Godfather,'us'
22,tt0120737,The Lord of the Rings: The Fellowship of the Ring,"'nz', 'us', 'gb'"
23,tt0167260,The Lord of the Rings: The Return of the King,"'nz', 'us'"
24,tt1345836,The Dark Knight Rises,"'us', 'gb'"
26,tt0167261,The Lord of the Rings: The Two Towers,"'nz', 'us'"
27,tt1853728,Django Unchained,'us'
28,tt0172495,Gladiator,"'us', 'gb', 'mt', 'ma'"
32,tt0993846,The Wolf of Wall Street,'us'
34,tt0361748,Inglourious Basterds,"'us', 'de'"
37,tt0372784,Batman Begins,"'us', 'gb'"
39,tt0102926,The Silence of the Lambs,'us'
40,tt7286456,Joker,"'us', 'ca', 'au'"
44,tt0120815,Saving Private Ryan,'us'
46,tt1130884,Shutter Island,"'us', 'ca'"
47,tt0482571,The Prestige,"'gb', 'us'"
50,tt0076759,Star Wars: Episode IV - A New Hope,'us'
51,tt0848228,The Avengers,'us'
52,tt0407887,The Departed,"'us', 'hk'"
53,tt0120689,The Green Mile,'us'
55,tt0080684,Star Wars: Episode V - The Empire Strikes Back,'us'
56,tt0499549,Avatar,"'us', 'gb'"
57,tt0071562,The Godfather Part II,'us'
60,tt0088763,Back to the Future,'us'
64,tt4154796,Avengers: Endgame,'us'
65,tt0120338,Titanic,'us'
66,tt0099685,Goodfellas,'us'
70,tt2015381,Guardians of the Galaxy,"'us', 'gb'"
71,tt0110413,Léon: The Professional,"'fr', 'us'"
73,tt4154756,Avengers: Infinity War,"'us', 'no'"
74,tt0120382,The Truman Show,'us'
75,tt0910970,WALL·E,"'us', 'jp'"
76,tt0266697,Kill Bill: Vol. 1,'us'
80,tt0169547,American Beauty,'us'
82,tt0103064,Terminator 2: Judgment Day,"'us', 'fr'"
85,tt0434409,V for Vendetta,"'us', 'gb', 'de'"
90,tt1431045,Deadpool,'us'
91,tt0110357,The Lion King,'us'
92,tt1049413,Up,'us'
93,tt0371746,Iron Man,"'us', 'ca'"
94,tt0081505,The Shining,"'gb', 'us'"
98,tt1392190,Mad Max: Fury Road,"'au', 'us'"
101,tt0086190,Star Wars: Episode VI - Return of the Jedi,'us'
102,tt0266543,Finding Nemo,"'us', 'jp'"
103,tt0119217,Good Will Hunting,'us'
107,tt0105236,Reservoir Dogs,'us'
112,tt0112573,Braveheart,'us'
113,tt0114709,Toy Story,'us'
114,tt0477348,No Country for Old Men,'us'
117,tt2267998,Gone Girl,'us'
119,tt0107290,Jurassic Park,'us'
120,tt0082971,Raiders of the Lost Ark,'us'
123,tt2582802,Whiplash,'us'
124,tt6751668,Parasite,'kr'
126,tt1392170,The Hunger Games,'us'
127,tt0198781,"Monsters, Inc.",'us'
128,tt0268978,A Beautiful Mind,'us'
131,tt0078748,Alien,"'gb', 'us'"
132,tt2488496,Star Wars: Episode VII - The Force Awakens,"'us', 'gb'"
133,tt0095016,Die Hard,'us'
134,tt0075314,Taxi Driver,'us'
135,tt0253474,The Pianist,"'fr', 'pl', 'de', 'gb', 'us'"
138,tt3659388,The Martian,"'us', 'gb', 'hu', 'jo'"
141,tt0086250,Scarface,'us'
143,tt2395427,Avengers: Age of Ultron,'us'
144,tt1160419,Dune: Part One,"'us', 'ca'"
147,tt10872600,Spider-Man: No Way Home,'us'
149,tt0208092,Snatch,"'gb', 'us'"
150,tt1843866,Captain America: The Winter Soldier,'us'
151,tt0800369,Thor,'us'
152,tt0458339,Captain America: The First Avenger,'us'
153,tt1300854,Iron Man 3,'us'
154,tt0435761,Toy Story 3,'us'
155,tt2278388,The Grand Budapest Hotel,"'us', 'de'"
159,tt0050083,12 Angry Men,'us'
160,tt0145487,Spider-Man,'us'
164,tt0066921,A Clockwork Orange,"'gb', 'us'"
167,tt1663202,The Revenant,"'us', 'hk', 'tw', 'ar'"
169,tt0245429,Spirited Away,"'jp', 'us'"
170,tt7131622,Once Upon a Time... in Hollywood,"'us', 'gb', 'cn'"
171,tt0241527,Harry Potter and the Sorcerer's Stone,"'gb', 'us'"
174,tt1228705,Iron Man 2,'us'
175,tt1010048,Slumdog Millionaire,"'gb', 'fr', 'us', 'in'"
180,tt0120915,Star Wars: Episode I - The Phantom Menace,"'us', 'gb'"
181,tt15398776,Oppenheimer,"'us', 'gb'"
182,tt0416449,300,"'us', 'ca', 'bg'"
186,tt0118715,The Big Lebowski,"'gb', 'us'"
188,tt3315342,Logan,'us'
189,tt3498820,Captain America: Civil War,"'us', 'de', 'pr'"
190,tt1119646,The Hangover,"'us', 'de'"
193,tt0382932,Ratatouille,'us'
194,tt0121766,Star Wars: Episode III - Revenge of the Sith,"'us', 'it', 'ch', 'th', 'gb'"
195,tt1454468,Gravity,"'gb', 'us'"
198,tt1825683,Black Panther,'us'
199,tt1392214,Prisoners,'us'
200,tt1877830,The Batman,'us'
203,tt2096673,Inside Out,'us'
204,tt0947798,Black Swan,'us'
206,tt0317705,The Incredibles,'us'
207,tt0083658,Blade Runner,"'us', 'gb'"
210,tt2084970,The Imitation Game,'us'
212,tt0060196,"The Good, the Bad and the Ugly","'it', 'es', 'xwg', 'us'"
213,tt0480249,I Am Legend,"'us', 'gb'"
215,tt1211837,Doctor Strange,"'us', 'hk', 'np'"
216,tt1205489,Gran Torino,"'de', 'us'"
220,tt0097576,Indiana Jones and the Last Crusade,'us'
223,tt0378194,Kill Bill: Vol. 2,'us'
226,tt0317248,City of God,"'br', 'fr'"
232,tt0770828,Man of Steel,"'us', 'gb', 'ca'"
235,tt0093058,Full Metal Jacket,"'gb', 'us'"
238,tt0211915,Amélie,"'fr', 'de'"
240,tt2543164,Arrival,"'us', 'ca'"
244,tt0090605,Aliens,"'gb', 'us'"
245,tt0401792,Sin City,'us'
247,tt0383574,Pirates of the Caribbean: Dead Man's Chest,'us'
248,tt3896198,Guardians of the Galaxy Vol. 2,'us'
249,tt1285016,The Social Network,'us'
