id,title,type,genres,averageRating,numVotes,releaseYear,idjw,NbDiff,ClassifImdb,Diffuseur,SVOD,ClassificationSVOD,CodePays
tt0137523,Fight Club,movie,"Crime, Drama, Thriller",8.8,2465169.0,1999.0,tm42409,1.0,16,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fmovies%2Ffight-club%2F38HCX4uW3BlA&subId3=justappsvod,Disney+,18+,"'de', 'us'"
tt0076759,Star Wars: Episode IV - A New Hope,movie,"Action, Adventure, Fantasy",8.6,1509213.0,1977.0,tm1,1.0,tous publics,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fmovies%2Fstar-wars-un-nouvel-espoir-episode-iv%2F12fVeZxD2fWJ&subId3=justappsvod,Disney+,12+,'us'
tt0848228,The Avengers,movie,"Action, Sci-Fi",8.0,1508524.0,2012.0,tm64957,1.0,tous publics,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fmovies%2Fmarvel-studios-avengers%2F2h6PcHFDbsPy&subId3=justappsvod,Disney+,12+,'us'
tt0080684,Star Wars: Episode V - The Empire Strikes Back,movie,"Action, Adventure, Fantasy",8.7,1441801.0,1980.0,tm2,1.0,tous publics,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fmovies%2Fstar-wars-lempire-contre-attaque-episode-v%2FiqtDTZAewwYl&subId3=justappsvod,Disney+,12+,'us'
tt0499549,Avatar,movie,"Action, Adventure, Fantasy",7.9,1431034.0,2009.0,tm135853,1.0,tous publics,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fmovies%2Favatar%2F2YOnkRN4LwZZ&subId3=justappsvod,Disney+,12+,"'us', 'gb'"
tt4154796,Avengers: Endgame,movie,"Action, Adventure, Sci-Fi",8.4,1357535.0,2019.0,tm1855,1.0,tous publics,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fmovies%2Favengers-endgame%2FaRbVJUb2h2Rf&subId3=justappsvod,Disney+,12+,'us'
tt0120338,Titanic,movie,"Drama, Romance",7.9,1339709.0,1997.0,tm191110,1.0,tous publics,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fmovies%2Ftitanic%2F1vXLGiOUqEP9&subId3=justappsvod,Disney+,12+,'us'
tt2015381,Guardians of the Galaxy,movie,"Action, Adventure, Comedy",8.0,1317605.0,2014.0,tm140097,1.0,tous publics,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fmovies%2Fmarvel-studios-les-gardiens-de-la-galaxie%2F1S4WM9h3KRR6&subId3=justappsvod,Disney+,12+,"'us', 'gb'"
tt4154756,Avengers: Infinity War,movie,"Action, Adventure, Sci-Fi",8.4,1287752.0,2018.0,tm591,1.0,tous publics,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fmovies%2Fmarvel-studios-avengers-infinity-war%2F1WEuZ7H6y39v&subId3=justappsvod,Disney+,12+,"'us', 'no'"
tt0910970,WALL·E,movie,"Adventure, Animation, Family",8.4,1261273.0,2008.0,tm25151,1.0,tous publics,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fmovies%2Fwall-e%2F5G1wpZC2Lb6I&subId3=justappsvod,Disney+,6+,"'us', 'jp'"
