id,title,type,genres,averageRating,numVotes,releaseYear,idjw,NbDiff,ClassifImdb,Diffuseur,SVOD,ClassificationSVOD,CodePays
tt0109830,Forrest Gump,movie,"Drama, Romance",8.8,2379299.0,1994.0,tm122434,2.0,tous publics,https://www.paramountplus.com/movies/forrest-gump/ms2eMPRyXDpOLCITPSn8wW_7ZdQ6g9dV?searchReferral=,Paramount+,12,'us'
tt0109830,Forrest Gump,movie,"Drama, Romance",8.8,2379299.0,1994.0,tm122434,2.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.d2a9f65f-019a-dc2a-9f03-e9b342352bac,Prime Video,18+,'us'
tt0068646,The Godfather,movie,"Crime, Drama",9.2,2125282.0,1972.0,tm155580,3.0,12::(new rating),https://app.primevideo.com/detail?gti=amzn1.dv.gti.64a9f786-efb1-28d3-bf27-6038d12cc53a,Prime Video,16+,'us'
tt0068646,The Godfather,movie,"Crime, Drama",9.2,2125282.0,1972.0,tm155580,3.0,12::(new rating),https://www.paramountplus.com/movies/godfather/gUufhVPlJy5i5HLTbS8li1LruEeMH_3x?searchReferral=,Paramount+,16,'us'
tt0071562,The Godfather Part II,movie,"Crime, Drama",9.0,1429484.0,1974.0,tm112061,3.0,tous publics avec avertissement::(new rating),https://www.paramountplus.com/movies/godfather-part-ii/twIUt5S_aWTT9aZwsytwqkIf92Gpr77C?searchReferral=,Paramount+,16,'us'
tt0071562,The Godfather Part II,movie,"Crime, Drama",9.0,1429484.0,1974.0,tm112061,3.0,tous publics avec avertissement::(new rating),https://app.primevideo.com/detail?gti=amzn1.dv.gti.c4a9f6db-167c-7b3a-b6cc-870ac83848d3,Prime Video,13+,'us'
tt0119217,Good Will Hunting,movie,"Drama, Romance",8.3,1138082.0,1997.0,tm191716,4.0,tous publics,https://www.paramountplus.com/movies/good-will-hunting/TJVP4hMKvPO3rGPArWlM1IC_53Vu21D_?searchReferral=,Paramount+,12,'us'
tt0119217,Good Will Hunting,movie,"Drama, Romance",8.3,1138082.0,1997.0,tm191716,4.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.64bc1d2e-ee7c-4652-0b4b-91c0454442c8,Prime Video,13+,'us'
tt0119217,Good Will Hunting,movie,"Drama, Romance",8.3,1138082.0,1997.0,tm191716,4.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.977945b6-e5db-4239-ab3f-2b754cf9148d,Prime Video,TOUS PUBLICS,'us'
tt0268978,A Beautiful Mind,movie,"Biography, Drama, Mystery",8.2,1022195.0,2001.0,tm46003,3.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.4f4eb103-4b34-4d31-9d46-23c43caeea06,Prime Video,13+,'us'
tt0268978,A Beautiful Mind,movie,"Biography, Drama, Mystery",8.2,1022195.0,2001.0,tm46003,3.0,tous publics,https://www.paramountplus.com/movies/a-beautiful-mind/WLPznV_128sBkcYy3Ko6_NiFiNGl0BRK?searchReferral=,Paramount+,12,'us'
tt1010048,Slumdog Millionaire,movie,"Crime, Drama, Romance",8.0,895153.0,2008.0,tm54060,5.0,tous publics,https://www.paramountplus.com/movies/slumdog-millionaire/mi_iv12awv2YFT4HwRRuoNtid78_5YPL?searchReferral=,Paramount+,12,"'gb', 'fr', 'us', 'in'"
tt1010048,Slumdog Millionaire,movie,"Crime, Drama, Romance",8.0,895153.0,2008.0,tm54060,5.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.bea9f74a-58fe-9921-3f22-f0a13b1f2cc6,Prime Video,13+,"'gb', 'fr', 'us', 'in'"
tt1045658,Silver Linings Playbook,movie,"Comedy, Drama, Romance",7.7,759577.0,2012.0,tm59428,4.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.97be48c9-ed96-4c2c-9450-b1f0b7ee3c5e,Prime Video,18+,'us'
tt1045658,Silver Linings Playbook,movie,"Comedy, Drama, Romance",7.7,759577.0,2012.0,tm59428,4.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.f8fd013d-b658-4426-93fe-940b1e20cb97,Prime Video,16+,'us'
tt1045658,Silver Linings Playbook,movie,"Comedy, Drama, Romance",7.7,759577.0,2012.0,tm59428,4.0,tous publics,https://www.paramountplus.com/movies/silver-linings-playbook/DoWsyu03dL1IHHX7mNaa828Nd_XWAuel?searchReferral=,Paramount+,12,'us'
tt0816711,World War Z,movie,"Action, Adventure, Horror",7.0,752752.0,2013.0,tm179734,4.0,12,https://app.primevideo.com/detail?gti=amzn1.dv.gti.26a9f6b4-4cf6-7580-6b57-2fafcf968422,Prime Video,16+,"'us', 'gb'"
tt0816711,World War Z,movie,"Action, Adventure, Horror",7.0,752752.0,2013.0,tm179734,4.0,12,https://www.paramountplus.com/movies/world-war-z/Eq6qE_ZPV8KfyECNyQKs2b3_w3dU0K1O?searchReferral=,Paramount+,16,"'us', 'gb'"
tt1504320,The King's Speech,movie,"Biography, Drama, History",8.0,721561.0,2010.0,tm92034,3.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.e974769b-a596-4955-b154-aa6c931d6eb9,Prime Video,TOUS PUBLICS,"'us', 'gb'"
tt1504320,The King's Speech,movie,"Biography, Drama, History",8.0,721561.0,2010.0,tm92034,3.0,tous publics,https://www.paramountplus.com/movies/kings-speech/6zD_7OKfr2Kw2F4opkwvpfXFz12iC__b?searchReferral=,Paramount+,0,"'us', 'gb'"
tt0418279,Transformers,movie,"Action, Adventure, Sci-Fi",7.1,697207.0,2007.0,tm74317,4.0,tous publics,https://www.paramountplus.com/movies/transformers/VFwMX5MQSMfLuqtXBq5B7D37rRhraW_8?searchReferral=,Paramount+,12,'us'
tt0418279,Transformers,movie,"Action, Adventure, Sci-Fi",7.1,697207.0,2007.0,tm74317,4.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.8583e7dc-16a9-4c65-b683-041145c6fc21,Prime Video,13+,'us'
tt0469494,There Will Be Blood,movie,Drama,8.2,671210.0,2007.0,tm76553,3.0,tous publics avec avertissement,https://www.paramountplus.com/movies/there-will-be-blood/MHTjAc5E8FquLtHRNL_T7AUM33Voq__N?searchReferral=,Paramount+,12,'us'
tt0469494,There Will Be Blood,movie,Drama,8.2,671210.0,2007.0,tm76553,3.0,tous publics avec avertissement,https://app.primevideo.com/detail?gti=amzn1.dv.gti.5cca823d-3ea4-4e0b-b185-9122bd3368ed,Prime Video,16+,'us'
tt0162222,Cast Away,movie,"Adventure, Drama, Romance",7.8,665933.0,2000.0,tm21856,4.0,tous publics,https://www.paramountplus.com/movies/cast-away/9C9RylHFM3IwxMeU3cCeZ3GFoZ3xFlRq?searchReferral=,Paramount+,12,'us'
tt0162222,Cast Away,movie,"Adventure, Drama, Romance",7.8,665933.0,2000.0,tm21856,4.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.aeda316f-849d-4737-a6b3-81704fb3d903,Prime Video,13+,'us'
tt0796366,Star Trek,movie,"Action, Adventure, Sci-Fi",7.9,629634.0,2009.0,tm132448,3.0,tous publics,https://www.paramountplus.com/movies/star-trek/sAGyRO0VWcwjb4VEZ9MZSpQ43Dq4x2_U?searchReferral=,Paramount+,12,"'us', 'de'"
tt0796366,Star Trek,movie,"Action, Adventure, Sci-Fi",7.9,629634.0,2009.0,tm132448,3.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.5cab851d-75a4-bc22-03ef-3cef833b0331,Prime Video,13+,"'us', 'de'"
tt6644200,A Quiet Place,movie,"Drama, Horror, Sci-Fi",7.5,629153.0,2018.0,tm312979,3.0,12,https://app.primevideo.com/detail?gti=amzn1.dv.gti.98b427d5-d2be-4310-3e1f-08489baa842a,Prime Video,13+,'us'
tt6644200,A Quiet Place,movie,"Drama, Horror, Sci-Fi",7.5,629153.0,2018.0,tm312979,3.0,12,https://www.paramountplus.com/movies/a-quiet-place/L2F2jXiRQJJU0y_LVvyaG2mINp8u8KAn?searchReferral=,Paramount+,16,'us'
tt0181689,Minority Report,movie,"Action, Crime, Mystery",7.6,602597.0,2002.0,tm113842,4.0,tous publics avec avertissement,https://app.primevideo.com/detail?gti=amzn1.dv.gti.84fb2e17-7778-48b2-8b92-b4ba22ea27c5,Prime Video,13+,'us'
tt0181689,Minority Report,movie,"Action, Crime, Mystery",7.6,602597.0,2002.0,tm113842,4.0,tous publics avec avertissement,https://www.paramountplus.com/movies/minority-report/Y_FH2xCQrY_K_5fWNQwttTr5NKtdNnx_?searchReferral=,Paramount+,12,'us'
