id,title,type,genres,averageRating,numVotes,releaseYear,idjw,NbDiff,ClassifImdb,Diffuseur,SVOD,ClassificationSVOD,CodePays
tt0816692,Interstellar,movie,"Adventure, Drama, Sci-Fi",8.7,2345627.0,2014.0,tm157099,3.0,tous publics,https://www.netflix.com/title/70305903,Netflix,13+,"'us', 'gb', 'ca'"
tt1853728,Django Unchained,movie,Western,8.5,1791607.0,2012.0,tm41792,1.0,12,https://www.netflix.com/title/70230640,Netflix,16+,'us'
tt0172495,Gladiator,movie,"Action, Adventure, Drama",8.5,1760458.0,2000.0,tm28142,4.0,tous publics avec avertissement,https://www.netflix.com/title/60000929,Netflix,16+,"'us', 'gb', 'mt', 'ma'"
tt0361748,Inglourious Basterds,movie,"Adventure, Drama, War",8.4,1683117.0,2009.0,tm143861,3.0,12,https://www.netflix.com/title/70108777,Netflix,18+,"'us', 'de'"
tt7286456,Joker,movie,"Crime, Drama, Thriller",8.3,1608975.0,2019.0,tm349873,4.0,12 avec avertissement,https://www.netflix.com/title/81092221,Netflix,16+,"'us', 'ca', 'au'"
tt0088763,Back to the Future,movie,"Adventure, Comedy, Sci-Fi",8.5,1378029.0,1985.0,tm129449,4.0,tous publics,https://www.netflix.com/title/60010110,Netflix,13+,'us'
tt0120382,The Truman Show,movie,"Comedy, Drama",8.2,1281584.0,1998.0,tm68909,1.0,tous publics,https://www.netflix.com/title/11819086,Netflix,13+,'us'
tt0103064,Terminator 2: Judgment Day,movie,"Action, Adventure, Sci-Fi",8.6,1232823.0,1991.0,tm8613,3.0,tous publics,https://www.netflix.com/title/60028202,Netflix,16+,"'us', 'fr'"
tt0082971,Raiders of the Lost Ark,movie,"Action, Adventure",8.4,1074423.0,1981.0,tm128131,3.0,tous publics,https://www.netflix.com/title/60011649,Netflix,13+,'us'
tt0075314,Taxi Driver,movie,"Crime, Drama",8.2,979287.0,1976.0,tm84618,1.0,16,https://www.netflix.com/title/18907685,Netflix,16+,'us'
tt0086250,Scarface,movie,"Crime, Drama",8.3,965909.0,1983.0,tm59031,2.0,12::(new rating),https://www.netflix.com/title/60029681,Netflix,16+,'us'
tt1160419,Dune: Part One,movie,"Action, Adventure, Drama",8.0,956824.0,2021.0,tm305113,3.0,tous publics,https://www.netflix.com/title/81199139,Netflix,13+,"'us', 'ca'"
