id,title,type,genres,averageRating,numVotes,releaseYear,idjw,NbDiff,ClassifImdb,Diffuseur,SVOD,ClassificationSVOD,CodePays
tt0418279,Transformers,movie,"Action, Adventure, Sci-Fi",7.1,697207.0,2007.0,tm74317,4.0,tous publics,https://www.paramountplus.com/movies/transformers/VFwMX5MQSMfLuqtXBq5B7D37rRhraW_8?searchReferral=,Paramount+,12,'us'
tt0418279,Transformers,movie,"Action, Adventure, Sci-Fi",7.1,697207.0,2007.0,tm74317,4.0,tous publics,https://www.netflix.com/title/70058026,Netflix,13+,'us'
tt0162222,Cast Away,movie,"Adventure, Drama, Romance",7.8,665933.0,2000.0,tm21856,4.0,tous publics,https://www.paramountplus.com/movies/cast-away/9C9RylHFM3IwxMeU3cCeZ3GFoZ3xFlRq?searchReferral=,Paramount+,12,'us'
tt0162222,Cast Away,movie,"Adventure, Drama, Romance",7.8,665933.0,2000.0,tm21856,4.0,tous publics,https://www.netflix.com/title/60020683,Netflix,13+,'us'
tt1055369,Transformers: Revenge of the Fallen,movie,"Action, Adventure, Sci-Fi",6.0,441836.0,2009.0,tm138894,4.0,tous publics,https://www.netflix.com/title/70103763,Netflix,13+,"'us', 'jo', 'gb'"
tt1055369,Transformers: Revenge of the Fallen,movie,"Action, Adventure, Sci-Fi",6.0,441836.0,2009.0,tm138894,4.0,tous publics,https://www.paramountplus.com/movies/transformers-revenge-of-the-fallen/dLBg_gjrh_F27Jqkx1IGoCZXhO7FBT9t?searchReferral=,Paramount+,12,"'us', 'jo', 'gb'"
tt0822854,Shooter,movie,"Action, Drama, Thriller",7.2,366637.0,2007.0,tm84371,4.0,tous publics,https://www.paramountplus.com/movies/shooter/rxVpBlvuBbJ0cY00U1upNwBYYrgdwOTv?searchReferral=,Paramount+,18,'us'
tt0822854,Shooter,movie,"Action, Drama, Thriller",7.2,366637.0,2007.0,tm84371,4.0,tous publics,https://www.netflix.com/title/70056430,Netflix,16+,'us'
tt0414387,Pride & Prejudice,movie,"Drama, Romance",7.8,354010.0,2005.0,tm173412,4.0,tous publics,https://www.paramountplus.com/movies/pride-and-prejudice/_vSYLscEwuCaJLqB35_af4DXUSqX7uQh?searchReferral=,Paramount+,6,"'gb', 'fr', 'us'"
tt0414387,Pride & Prejudice,movie,"Drama, Romance",7.8,354010.0,2005.0,tm173412,4.0,tous publics,https://www.netflix.com/title/70032594,Netflix,13+,"'gb', 'fr', 'us'"
tt0094226,The Untouchables,movie,"Crime, Drama, Thriller",7.8,343473.0,1987.0,tm23389,4.0,tous publics,https://www.paramountplus.com/movies/untouchables/C2Ba94HzjXP9CWzhRVNnZ_4wW0etojhY?searchReferral=,Paramount+,12,'us'
tt0094226,The Untouchables,movie,"Crime, Drama, Thriller",7.8,343473.0,1987.0,tm23389,4.0,tous publics,https://www.netflix.com/title/60004086,Netflix,16+,'us'
tt2109248,Transformers: Age of Extinction,movie,"Action, Adventure, Sci-Fi",5.6,340862.0,2014.0,tm155098,4.0,tous publics,https://www.netflix.com/title/70299855,Netflix,13+,"'us', 'cn', 'hk'"
tt2109248,Transformers: Age of Extinction,movie,"Action, Adventure, Sci-Fi",5.6,340862.0,2014.0,tm155098,4.0,tous publics,https://www.paramountplus.com/movies/transformers-age-of-extinction/PEdXz3RSW4L0UVNzyxiC0SdIOIsCo94h?searchReferral=,Paramount+,12,"'us', 'cn', 'hk'"
tt0077631,Grease,movie,"Comedy, Musical, Romance",7.2,314699.0,1978.0,tm17823,5.0,tous publics,https://www.paramountplus.com/movies/grease/kkp1rqyHDlftoZ7A3cUpzbYZgIbghWi8?searchReferral=,Paramount+,6,'us'
tt0077631,Grease,movie,"Comedy, Musical, Romance",7.2,314699.0,1978.0,tm17823,5.0,tous publics,https://www.netflix.com/title/60000577,Netflix,10+,'us'
tt0783233,Atonement,movie,"Drama, Mystery, Romance",7.8,314282.0,2007.0,tm75465,5.0,tous publics,https://www.paramountplus.com/movies/atonement/XePN2i0nmAQztcoet0d_fbMOh2EDXpBF?searchReferral=,Paramount+,12,"'gb', 'fr', 'us'"
tt0783233,Atonement,movie,"Drama, Mystery, Romance",7.8,314282.0,2007.0,tm75465,5.0,tous publics,https://www.netflix.com/title/70059993,Netflix,16+,"'gb', 'fr', 'us'"
tt0117381,Primal Fear,movie,"Crime, Drama, Mystery",7.7,261017.0,1996.0,tm106239,4.0,tous publics,https://www.paramountplus.com/movies/primal-fear/LCValSH2W5iCdw_rmz_9GKwQlFnIRZNS?searchReferral=,Paramount+,16,'us'
tt0117381,Primal Fear,movie,"Crime, Drama, Mystery",7.7,261017.0,1996.0,tm106239,4.0,tous publics,https://www.netflix.com/title/873159,Netflix,13+,'us'
