id,title,type,genres,averageRating,numVotes,releaseYear,idjw,NbDiff,ClassifImdb,Diffuseur,SVOD,ClassificationSVOD,CodePays
tt0068646,The Godfather,movie,"Crime, Drama",9.2,2125282.0,1972.0,tm155580,3.0,12::(new rating),https://tv.apple.com/fr/movie/le-parrain/umc.cmc.3ew9fykdnpfaq9t2jq5da011c?at=1000l3V2&ct=app_tv&itscg=30200&itsct=justwatch_tv_12&playableId=tvs.sbd.9001%3A364918770,AppleTV+,-12,'us'
tt0068646,The Godfather,movie,"Crime, Drama",9.2,2125282.0,1972.0,tm155580,3.0,12::(new rating),https://www.paramountplus.com/movies/godfather/gUufhVPlJy5i5HLTbS8li1LruEeMH_3x?searchReferral=,Paramount+,16,'us'
tt0071562,The Godfather Part II,movie,"Crime, Drama",9.0,1429484.0,1974.0,tm112061,3.0,tous publics avec avertissement::(new rating),https://www.paramountplus.com/movies/godfather-part-ii/twIUt5S_aWTT9aZwsytwqkIf92Gpr77C?searchReferral=,Paramount+,16,'us'
tt0071562,The Godfather Part II,movie,"Crime, Drama",9.0,1429484.0,1974.0,tm112061,3.0,tous publics avec avertissement::(new rating),https://tv.apple.com/fr/movie/le-parrain-2/umc.cmc.3jyv977h8msmkkuz4r1u29lel?at=1000l3V2&ct=app_tv&itscg=30200&itsct=justwatch_tv_12&playableId=tvs.sbd.9001%3A365266690,AppleTV+,-12,'us'
tt0169547,American Beauty,movie,Drama,8.3,1249003.0,1999.0,tm57615,2.0,tous publics,https://www.paramountplus.com/movies/american-beauty/xfH5l2bmAm7QzGwaAUY3IQtjzIDmyEsM?searchReferral=,Paramount+,12,'us'
tt0169547,American Beauty,movie,Drama,8.3,1249003.0,1999.0,tm57615,2.0,tous publics,https://tv.apple.com/fr/movie/american-beauty/umc.cmc.16daqxpennfm6jm9nkrmtscp?at=1000l3V2&ct=app_tv&itscg=30200&itsct=justwatch_tv_12&playableId=tvs.sbd.9001%3A417361716,AppleTV+,Tout public,'us'
tt0268978,A Beautiful Mind,movie,"Biography, Drama, Mystery",8.2,1022195.0,2001.0,tm46003,3.0,tous publics,https://tv.apple.com/fr/movie/un-homme-dexception/umc.cmc.2iqk0c0jh9ocfk2jtv2yda0k1?at=1000l3V2&ct=app_tv&itscg=30200&itsct=justwatch_tv_12&playableId=tvs.sbd.9001%3A566869132,AppleTV+,Tout public,'us'
tt0268978,A Beautiful Mind,movie,"Biography, Drama, Mystery",8.2,1022195.0,2001.0,tm46003,3.0,tous publics,https://www.paramountplus.com/movies/a-beautiful-mind/WLPznV_128sBkcYy3Ko6_NiFiNGl0BRK?searchReferral=,Paramount+,12,'us'
tt1010048,Slumdog Millionaire,movie,"Crime, Drama, Romance",8.0,895153.0,2008.0,tm54060,5.0,tous publics,https://www.paramountplus.com/movies/slumdog-millionaire/mi_iv12awv2YFT4HwRRuoNtid78_5YPL?searchReferral=,Paramount+,12,"'gb', 'fr', 'us', 'in'"
tt1010048,Slumdog Millionaire,movie,"Crime, Drama, Romance",8.0,895153.0,2008.0,tm54060,5.0,tous publics,https://tv.apple.com/fr/movie/slumdog-millionaire/umc.cmc.4z31qtliob8zcfmkqbuf3aka1?at=1000l3V2&ct=app_tv&itscg=30200&itsct=justwatch_tv_12&playableId=tvs.sbd.9001%3A384592895,AppleTV+,Tout public,"'gb', 'fr', 'us', 'in'"
