id,title,type,genres,averageRating,numVotes,releaseYear,idjw,NbDiff,ClassifImdb,Diffuseur,SVOD,ClassificationSVOD,CodePays
tt0816692,Interstellar,movie,"Adventure, Drama, Sci-Fi",8.7,2345627.0,2014.0,tm157099,3.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.b4a9f7c6-5def-7e63-9aa7-df38a479333e,Prime Video,16+,"'us', 'gb', 'ca'"
tt0816692,Interstellar,movie,"Adventure, Drama, Sci-Fi",8.7,2345627.0,2014.0,tm157099,3.0,tous publics,https://www.netflix.com/title/70305903,Netflix,13+,"'us', 'gb', 'ca'"
tt0172495,Gladiator,movie,"Action, Adventure, Drama",8.5,1760458.0,2000.0,tm28142,4.0,tous publics avec avertissement,https://app.primevideo.com/detail?gti=amzn1.dv.gti.f2a9f680-2275-2949-77fd-e67f07b680f0,Prime Video,16+,"'us', 'gb', 'mt', 'ma'"
tt0172495,Gladiator,movie,"Action, Adventure, Drama",8.5,1760458.0,2000.0,tm28142,4.0,tous publics avec avertissement,https://www.netflix.com/title/60000929,Netflix,16+,"'us', 'gb', 'mt', 'ma'"
tt0172495,Gladiator,movie,"Action, Adventure, Drama",8.5,1760458.0,2000.0,tm28142,4.0,tous publics avec avertissement,https://app.primevideo.com/detail?gti=amzn1.dv.gti.5d60cc03-f2ec-4bcc-98d4-3437070f9c52,Prime Video,16+,"'us', 'gb', 'mt', 'ma'"
tt0361748,Inglourious Basterds,movie,"Adventure, Drama, War",8.4,1683117.0,2009.0,tm143861,3.0,12,https://app.primevideo.com/detail?gti=amzn1.dv.gti.98a9f666-bdba-0a81-d19a-1d748b0eb0f2,Prime Video,16+,"'us', 'de'"
tt0361748,Inglourious Basterds,movie,"Adventure, Drama, War",8.4,1683117.0,2009.0,tm143861,3.0,12,https://www.netflix.com/title/70108777,Netflix,18+,"'us', 'de'"
tt7286456,Joker,movie,"Crime, Drama, Thriller",8.3,1608975.0,2019.0,tm349873,4.0,12 avec avertissement,https://app.primevideo.com/detail?gti=amzn1.dv.gti.c4b6ca92-491f-bc5b-9da4-30916bb6e8a0,Prime Video,16+,"'us', 'ca', 'au'"
tt7286456,Joker,movie,"Crime, Drama, Thriller",8.3,1608975.0,2019.0,tm349873,4.0,12 avec avertissement,https://www.netflix.com/title/81092221,Netflix,16+,"'us', 'ca', 'au'"
tt0088763,Back to the Future,movie,"Adventure, Comedy, Sci-Fi",8.5,1378029.0,1985.0,tm129449,4.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.f6a9f675-7a13-b722-23c9-82a4a4794997,Prime Video,16+,'us'
