id,title,type,genres,averageRating,numVotes,releaseYear,idjw,NbDiff,ClassifImdb,Diffuseur,SVOD,ClassificationSVOD,CodePays
tt0111161,The Shawshank Redemption,movie,Drama,9.3,3044564.0,1994.0,tm119206,3.0,tous publics avec avertissement,https://www.mycanal.fr/cinema/les-evades/h/40436199_50889,MyCanal,-12,'us'
tt1375666,Inception,movie,"Action, Adventure, Sci-Fi",8.8,2684072.0,2010.0,tm92641,4.0,tous publics,https://www.mycanal.fr/cinema/inception/h/40442683_50889,MyCanal,-12,"'us', 'gb'"
tt0133093,The Matrix,movie,"Action, Sci-Fi",8.7,2156057.0,1999.0,tm10,3.0,tous publics avec avertissement,https://www.mycanal.fr/cinema/matrix/h/40442430_50889,MyCanal,-12,"'us', 'au'"
tt7286456,Joker,movie,"Crime, Drama, Thriller",8.3,1608975.0,2019.0,tm349873,4.0,12 avec avertissement,https://www.mycanal.fr/cinema/joker/h/40442394_50889,MyCanal,-16,"'us', 'ca', 'au'"
tt0482571,The Prestige,movie,"Drama, Mystery, Sci-Fi",8.5,1514959.0,2006.0,tm22747,3.0,tous publics,https://www.mycanal.fr/cinema/le-prestige/h/40436219_50889,MyCanal,-12,"'gb', 'us'"
tt0088763,Back to the Future,movie,"Adventure, Comedy, Sci-Fi",8.5,1378029.0,1985.0,tm129449,4.0,tous publics,https://www.mycanal.fr/cinema/retour-vers-le-futur/h/40524283_50889,MyCanal,-10,'us'
tt0099685,Goodfellas,movie,"Biography, Crime, Drama",8.7,1326154.0,1990.0,tm155787,4.0,16,https://www.mycanal.fr/cinema/les-affranchis/h/40578979_50889,MyCanal,-16,'us'
tt0434409,V for Vendetta,movie,"Action, Drama, Sci-Fi",8.1,1215241.0,2005.0,tm184362,5.0,tous publics avec avertissement,https://www.mycanal.fr/cinema/v-pour-vendetta/h/40433031_50889,MyCanal,-16,"'us', 'gb', 'de'"
tt0066921,A Clockwork Orange,movie,"Crime, Sci-Fi",8.2,911697.0,1971.0,tm11500,3.0,16,https://www.mycanal.fr/cinema/orange-mecanique/h/40436652_50889,MyCanal,-16,"'gb', 'us'"
tt0241527,Harry Potter and the Sorcerer's Stone,movie,"Adventure, Family, Fantasy",7.7,904271.0,2001.0,tm50154,3.0,tous publics,https://www.mycanal.fr/cinema/harry-potter-a-lecole-des-sorciers/h/40438941_50889,MyCanal,-10,"'gb', 'us'"
tt1010048,Slumdog Millionaire,movie,"Crime, Drama, Romance",8.0,895153.0,2008.0,tm54060,5.0,tous publics,https://www.mycanal.fr/cinema/slumdog-millionaire/h/40592384_50889,MyCanal,-16,"'gb', 'fr', 'us', 'in'"
tt0416449,300,movie,"Action, Drama",7.6,891017.0,2006.0,tm33514,4.0,12,https://www.mycanal.fr/cinema/300/h/40415518_50889,MyCanal,-16,"'us', 'ca', 'bg'"
tt0083658,Blade Runner,movie,"Action, Drama, Sci-Fi",8.1,854308.0,1982.0,tm40461,3.0,tous publics avec avertissement,https://www.mycanal.fr/cinema/blade-runner/h/40439282_50889,MyCanal,-12,"'us', 'gb'"
tt1205489,Gran Torino,movie,Drama,8.1,839471.0,2008.0,tm48591,3.0,tous publics,https://www.mycanal.fr/cinema/gran-torino/h/40433117_50889,MyCanal,-12,"'de', 'us'"
tt0317248,City of God,movie,"Crime, Drama",8.6,837485.0,2002.0,tm119115,6.0,16,https://www.mycanal.fr/cinema/la-cite-de-dieu/h/40578975_50889,MyCanal,-16,"'br', 'fr'"
tt0770828,Man of Steel,movie,"Action, Adventure, Sci-Fi",7.1,834132.0,2013.0,tm165938,3.0,tous publics,https://www.mycanal.fr/cinema/man-of-steel/h/40439367_50889,MyCanal,-12,"'us', 'gb', 'ca'"
