id,title,type,genres,averageRating,numVotes,releaseYear,idjw,NbDiff,ClassifImdb,CodePays
tt0111161,The Shawshank Redemption,movie,Drama,9.3,3044564.0,1994.0,tm119206,3.0,tous publics avec avertissement,'us'
tt0468569,The Dark Knight,movie,"Action, Crime, Drama",9.0,3021134.0,2008.0,tm56184,2.0,tous publics,"'us', 'gb'"
tt1375666,Inception,movie,"Action, Adventure, Sci-Fi",8.8,2684072.0,2010.0,tm92641,4.0,tous publics,"'us', 'gb'"
tt0137523,Fight Club,movie,"Crime, Drama, Thriller",8.8,2465169.0,1999.0,tm42409,1.0,16,"'de', 'us'"
tt0109830,Forrest Gump,movie,"Drama, Romance",8.8,2379299.0,1994.0,tm122434,2.0,tous publics,'us'
tt0816692,Interstellar,movie,"Adventure, Drama, Sci-Fi",8.7,2345627.0,2014.0,tm157099,3.0,tous publics,"'us', 'gb', 'ca'"
tt0110912,Pulp Fiction,movie,"Crime, Drama",8.8,2334909.0,1994.0,tm112130,1.0,12,'us'
tt0133093,The Matrix,movie,"Action, Sci-Fi",8.7,2156057.0,1999.0,tm10,3.0,tous publics avec avertissement,"'us', 'au'"
tt0068646,The Godfather,movie,"Crime, Drama",9.2,2125282.0,1972.0,tm155580,3.0,12::(new rating),'us'
tt0120737,The Lord of the Rings: The Fellowship of the Ring,movie,"Adventure, Drama, Fantasy",8.9,2107957.0,2001.0,tm44313,1.0,tous publics,"'nz', 'us', 'gb'"
tt0167260,The Lord of the Rings: The Return of the King,movie,"Adventure, Drama, Fantasy",9.0,2077973.0,2003.0,tm142381,1.0,tous publics avec avertissement,"'nz', 'us'"
tt1345836,The Dark Knight Rises,movie,"Action, Crime, Drama",8.4,1913559.0,2012.0,tm39888,2.0,tous publics,"'us', 'gb'"
tt0167261,The Lord of the Rings: The Two Towers,movie,"Adventure, Drama, Fantasy",8.8,1873596.0,2002.0,tm115982,1.0,tous publics avec avertissement,"'nz', 'us'"
tt1853728,Django Unchained,movie,Western,8.5,1791607.0,2012.0,tm41792,1.0,12,'us'
tt0172495,Gladiator,movie,"Action, Adventure, Drama",8.5,1760458.0,2000.0,tm28142,4.0,tous publics avec avertissement,"'us', 'gb', 'mt', 'ma'"
tt0993846,The Wolf of Wall Street,movie,"Biography, Comedy, Crime",8.2,1687611.0,2013.0,tm188690,2.0,12,'us'
tt0361748,Inglourious Basterds,movie,"Adventure, Drama, War",8.4,1683117.0,2009.0,tm143861,3.0,12,"'us', 'de'"
tt0372784,Batman Begins,movie,"Action, Crime, Drama",8.2,1646729.0,2005.0,tm167206,2.0,tous publics,"'us', 'gb'"
tt0102926,The Silence of the Lambs,movie,"Crime, Drama, Horror",8.6,1635761.0,1991.0,tm8843,1.0,16,'us'
tt7286456,Joker,movie,"Crime, Drama, Thriller",8.3,1608975.0,2019.0,tm349873,4.0,12 avec avertissement,"'us', 'ca', 'au'"
tt0120815,Saving Private Ryan,movie,"Drama, War",8.6,1570071.0,1998.0,tm57554,2.0,tous publics avec avertissement,'us'
tt1130884,Shutter Island,movie,"Drama, Mystery, Thriller",8.2,1550072.0,2010.0,tm99575,1.0,12,"'us', 'ca'"
tt0482571,The Prestige,movie,"Drama, Mystery, Sci-Fi",8.5,1514959.0,2006.0,tm22747,3.0,tous publics,"'gb', 'us'"
tt0076759,Star Wars: Episode IV - A New Hope,movie,"Action, Adventure, Fantasy",8.6,1509213.0,1977.0,tm1,1.0,tous publics,'us'
tt0848228,The Avengers,movie,"Action, Sci-Fi",8.0,1508524.0,2012.0,tm64957,1.0,tous publics,'us'
tt0407887,The Departed,movie,"Crime, Drama, Thriller",8.5,1488088.0,2006.0,tm27911,1.0,tous publics avec avertissement::(theatrical rating),"'us', 'hk'"
tt0120689,The Green Mile,movie,"Crime, Drama, Fantasy",8.6,1485848.0,1999.0,tm54285,2.0,12,'us'
tt0080684,Star Wars: Episode V - The Empire Strikes Back,movie,"Action, Adventure, Fantasy",8.7,1441801.0,1980.0,tm2,1.0,tous publics,'us'
tt0499549,Avatar,movie,"Action, Adventure, Fantasy",7.9,1431034.0,2009.0,tm135853,1.0,tous publics,"'us', 'gb'"
tt0071562,The Godfather Part II,movie,"Crime, Drama",9.0,1429484.0,1974.0,tm112061,3.0,tous publics avec avertissement::(new rating),'us'
tt0088763,Back to the Future,movie,"Adventure, Comedy, Sci-Fi",8.5,1378029.0,1985.0,tm129449,4.0,tous publics,'us'
tt4154796,Avengers: Endgame,movie,"Action, Adventure, Sci-Fi",8.4,1357535.0,2019.0,tm1855,1.0,tous publics,'us'
tt0120338,Titanic,movie,"Drama, Romance",7.9,1339709.0,1997.0,tm191110,1.0,tous publics,'us'
tt0099685,Goodfellas,movie,"Biography, Crime, Drama",8.7,1326154.0,1990.0,tm155787,4.0,16,'us'
tt2015381,Guardians of the Galaxy,movie,"Action, Adventure, Comedy",8.0,1317605.0,2014.0,tm140097,1.0,tous publics,"'us', 'gb'"
tt0110413,Léon: The Professional,movie,"Action, Crime, Drama",8.5,1302955.0,1994.0,tm116655,2.0,12,"'fr', 'us'"
tt4154756,Avengers: Infinity War,movie,"Action, Adventure, Sci-Fi",8.4,1287752.0,2018.0,tm591,1.0,tous publics,"'us', 'no'"
tt0120382,The Truman Show,movie,"Comedy, Drama",8.2,1281584.0,1998.0,tm68909,1.0,tous publics,'us'
