id,title,type,genres,averageRating,numVotes,releaseYear,idjw,NbDiff,ClassifImdb,Diffuseur,SVOD,ClassificationSVOD,CodePays
tt0111161,The Shawshank Redemption,movie,Drama,9.3,3044564.0,1994.0,tm119206,3.0,tous publics avec avertissement,https://app.primevideo.com/detail?gti=amzn1.dv.gti.20b4c3cf-b703-aebb-41bd-0dc683f8c0c8,Prime Video,16+,'us'
tt0468569,The Dark Knight,movie,"Action, Crime, Drama",9.0,3021134.0,2008.0,tm56184,2.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.18b7edbe-a800-19a8-45b5-c1804b71a7a5,Prime Video,13+,"'us', 'gb'"
tt1375666,Inception,movie,"Action, Adventure, Sci-Fi",8.8,2684072.0,2010.0,tm92641,4.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.5ca9f69c-796e-2320-e56f-f758fa5957b5,Prime Video,13+,"'us', 'gb'"
tt1375666,Inception,movie,"Action, Adventure, Sci-Fi",8.8,2684072.0,2010.0,tm92641,4.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.6974454d-3b83-4093-881b-d218cc43adb5,Prime Video,13+,"'us', 'gb'"
tt0109830,Forrest Gump,movie,"Drama, Romance",8.8,2379299.0,1994.0,tm122434,2.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.d2a9f65f-019a-dc2a-9f03-e9b342352bac,Prime Video,18+,'us'
tt0816692,Interstellar,movie,"Adventure, Drama, Sci-Fi",8.7,2345627.0,2014.0,tm157099,3.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.b4a9f7c6-5def-7e63-9aa7-df38a479333e,Prime Video,16+,"'us', 'gb', 'ca'"
tt0133093,The Matrix,movie,"Action, Sci-Fi",8.7,2156057.0,1999.0,tm10,3.0,tous publics avec avertissement,https://app.primevideo.com/detail?gti=amzn1.dv.gti.dea9f6b7-e0a0-38c9-7467-d6079c6fb4f0,Prime Video,13+,"'us', 'au'"
tt0068646,The Godfather,movie,"Crime, Drama",9.2,2125282.0,1972.0,tm155580,3.0,12::(new rating),https://app.primevideo.com/detail?gti=amzn1.dv.gti.64a9f786-efb1-28d3-bf27-6038d12cc53a,Prime Video,16+,'us'
tt0120737,The Lord of the Rings: The Fellowship of the Ring,movie,"Adventure, Drama, Fantasy",8.9,2107957.0,2001.0,tm44313,1.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.18874f28-ed2b-4235-a4ef-bd1f9af589cc,Prime Video,13+,"'nz', 'us', 'gb'"
tt0167260,The Lord of the Rings: The Return of the King,movie,"Adventure, Drama, Fantasy",9.0,2077973.0,2003.0,tm142381,1.0,tous publics avec avertissement,https://app.primevideo.com/detail?gti=amzn1.dv.gti.46a974f9-6f03-4ea1-9a61-da05e38808af,Prime Video,13+,"'nz', 'us'"
