id,title,type,genres,averageRating,numVotes,releaseYear,idjw,NbDiff,ClassifImdb,Diffuseur,SVOD,ClassificationSVOD,CodePays
tt0773262,Dexter,tvSeries,"Crime, Drama, Mystery",8.6,843967.0,2006.0,ts10620,3.0,12,https://tv.apple.com/fr/show/dexter/umc.cmc.2w8cp3aur89y8id4cfk2engfu?at=1000l3V2&ct=app_tv&itscg=30200&itsct=justwatch_tv_12,AppleTV+,-18,'us'
tt0121955,South Park,tvSeries,"Animation, Comedy",8.7,422746.0,1997.0,ts21792,5.0,16,https://tv.apple.com/fr/show/south-park/umc.cmc.1n9fnkfiemhayikewq5xitzn6?at=1000l3V2&ct=app_tv&itscg=30200&itsct=justwatch_tv_12,AppleTV+,-16,'us'
tt0417299,Avatar: The Last Airbender,tvSeries,"Action, Adventure, Animation",9.3,406238.0,2005.0,ts83993,7.0,t,https://tv.apple.com/fr/show/avatar--le-dernier-maitre-de-lair/umc.cmc.4d38ljozi439j6g8e5m5o2bv5?at=1000l3V2&ct=app_tv&itscg=30200&itsct=justwatch_tv_12,AppleTV+,Tout public,"'us', 'kr'"
tt10986410,Ted Lasso,tvSeries,"Comedy, Drama, Sport",8.8,400684.0,2020.0,ts224087,1.0,tous publics,https://tv.apple.com/fr/episode/le-pilote/umc.cmc.zb0yksqtym68hasbq8mj4jwp?at=1000l3V2&ct=app_tvplus&itscg=30200&itsct=justwatch_tv_12&playableId=tvs.sbd.4000%3AVTEDL0560101&showId=umc.cmc.vtoh0mn0xn7t3c643xqonfzy,AppleTV+,-12,"'us', 'gb'"
tt11280740,Severance,tvSeries,"Drama, Mystery, Sci-Fi",8.7,316756.0,2022.0,ts320458,2.0,12::(self-applied),https://tv.apple.com/fr/episode/le-bon-cote-de-lenfer/umc.cmc.s80mx1ic96pu6ewupz8pfasf?at=1000l3V2&ct=app_tvplus&itscg=30200&itsct=justwatch_tv_12&playableId=tvs.sbd.4000%3AVSEVR0560101&showId=umc.cmc.1srk2goyh2q2zdxcx605w8vtx,AppleTV+,-12,'us'
tt4236770,Yellowstone,tvSeries,"Drama, Western",8.6,275341.0,2018.0,ts75269,4.0,10,https://tv.apple.com/fr/show/yellowstone/umc.cmc.2bnarwrthyaosxk1pkoefxzj0?at=1000l3V2&ct=app_tv&itscg=30200&itsct=justwatch_tv_12,AppleTV+,-18,'us'
tt0098936,Twin Peaks,tvSeries,"Crime, Drama, Mystery",8.7,231687.0,1990.0,ts86729,3.0,tous publics,https://tv.apple.com/fr/show/twin-peaks/umc.cmc.1n2apxyl1chm6vcebyfefmqdk?at=1000l3V2&ct=app_tv&itscg=30200&itsct=justwatch_tv_12,AppleTV+,-16,'us'
tt0452046,Criminal Minds,tvSeries,"Crime, Drama, Mystery",8.1,230363.0,2005.0,ts6495,6.0,12,https://tv.apple.com/fr/show/esprits-criminels/umc.cmc.6cljvkfmjijnip1z2ju685tkg?at=1000l3V2&ct=app_tv&itscg=30200&itsct=justwatch_tv_12,AppleTV+,-12,'us'
tt0904208,Californication,tvSeries,"Comedy, Drama",8.3,192037.0,2007.0,ts9581,3.0,16,https://tv.apple.com/fr/show/californication/umc.cmc.t71eiipvy455g5wno7chtp9n?at=1000l3V2&ct=app_tv&itscg=30200&itsct=justwatch_tv_12,AppleTV+,-18,'us'
tt14688458,Silo,tvSeries,"Drama, Mystery, Sci-Fi",8.1,185083.0,2023.0,ts297178,1.0,12::(self-applied),https://tv.apple.com/fr/episode/la-fete-de-la-liberte/umc.cmc.4v3gat04y129mm0smdu6ea3dh?at=1000l3V2&ct=app_tvplus&itscg=30200&itsct=justwatch_tv_12&playableId=tvs.sbd.4000%3AA0026501001&showId=umc.cmc.3yksgc857px0k0rqe5zd4jice,AppleTV+,-12,'us'
