id,title,type,genres,averageRating,numVotes,releaseYear,idjw,NbDiff,ClassifImdb,Diffuseur,SVOD,ClassificationSVOD,CodePays
tt0411008,Lost,tvSeries,"Adventure, Drama, Fantasy",8.3,641221.0,2004.0,ts21848,2.0,tous publics,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Flost-les-disparus%2F49VjIYAiy7oh&subId3=justappsvod,Disney+,16+,'us'
tt0411008,Lost,tvSeries,"Adventure, Drama, Fantasy",8.3,641221.0,2004.0,ts21848,2.0,tous publics,https://www.netflix.com/title/70136118,Netflix,16+,'us'
tt0455275,Prison Break,tvSeries,"Action, Crime, Drama",8.3,627772.0,2005.0,ts21422,3.0,tous publics,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fprison-break%2F7O2SFMVATNe5&subId3=justappsvod,Disney+,16+,'us'
tt0455275,Prison Break,tvSeries,"Action, Crime, Drama",8.3,627772.0,2005.0,ts21422,3.0,tous publics,https://www.netflix.com/title/70140425,Netflix,16+,'us'
tt0367279,Arrested Development,tvSeries,Comedy,8.6,334767.0,2003.0,ts17156,2.0,tous publics::(dvd rating),https://www.netflix.com/title/70140358,Netflix,13+,'us'
tt0367279,Arrested Development,tvSeries,Comedy,8.6,334767.0,2003.0,ts17156,2.0,tous publics::(dvd rating),https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Farrested-development%2F1trYOnYTElOr&subId3=justappsvod,Disney+,16+,'us'
tt0238784,Gilmore Girls,tvSeries,"Comedy, Drama",8.2,161688.0,2000.0,ts21567,2.0,tous publics,https://www.netflix.com/title/70155618,Netflix,10+,'us'
tt0238784,Gilmore Girls,tvSeries,"Comedy, Drama",8.2,161688.0,2000.0,ts21567,2.0,tous publics,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fgilmore-girls%2F6nUcNUmCthnf&subId3=justappsvod,Disney+,12+,'us'
tt6226232,Young Sheldon,tvSeries,Comedy,7.7,133005.0,2017.0,ts57131,5.0,tous publics,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fyoung-sheldon%2F1wdnMLKAtHnd&subId3=justappsvod,Disney+,12+,'us'
tt6226232,Young Sheldon,tvSeries,Comedy,7.7,133005.0,2017.0,ts57131,5.0,tous publics,https://www.netflix.com/title/80192612,Netflix,13+,'us'
tt7587890,The Rookie,tvSeries,"Action, Crime, Drama",8.0,98621.0,2018.0,ts81342,3.0,10,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fthe-rookie-le-flic-de-los-angeles%2F7OpWlyExb1ML&subId3=justappsvod,Disney+,16+,'us'
tt7587890,The Rookie,tvSeries,"Action, Crime, Drama",8.0,98621.0,2018.0,ts81342,3.0,10,https://www.netflix.com/title/81666165,Netflix,13+,'us'
tt2580046,Miraculous: Tales of Ladybug & Cat Noir,tvSeries,"Action, Adventure, Animation",7.5,17707.0,2015.0,ts42062,3.0,tous publics,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fmiraculous-les-aventures-de-ladybug-et-chat-noir%2F1CjTiHEJbLRC&subId3=justappsvod,Disney+,6+,"'fr', 'kr', 'jp', 'us', 'br', 'ca', 'it'"
tt2580046,Miraculous: Tales of Ladybug & Cat Noir,tvSeries,"Action, Adventure, Animation",7.5,17707.0,2015.0,ts42062,3.0,tous publics,https://www.netflix.com/title/80164216,Netflix,7+,"'fr', 'kr', 'jp', 'us', 'br', 'ca', 'it'"
