id,title,type,genres,averageRating,numVotes,releaseYear,idjw,NbDiff,ClassifImdb,Diffuseur,SVOD,ClassificationSVOD,CodePays
tt0903747,Breaking Bad,tvSeries,"Crime, Drama, Thriller",9.5,2331384.0,2008.0,ts4,1.0,tous publics::(with warning),https://www.netflix.com/title/70143836,Netflix,16+,'us'
tt4574334,Stranger Things,tvSeries,"Drama, Fantasy, Horror",8.6,1446016.0,2016.0,ts38796,1.0,16::(self-applied),https://www.netflix.com/title/80057281,Netflix,16+,'us'
tt1520211,The Walking Dead,tvSeries,"Drama, Horror, Thriller",8.1,1142193.0,2010.0,ts9,1.0,16,https://www.netflix.com/title/70177057,Netflix,18+,'us'
tt1475582,Sherlock,tvSeries,"Crime, Drama, Mystery",9.0,1048301.0,2010.0,ts21538,2.0,tous publics,https://www.netflix.com/title/70202589,Netflix,13+,"'gb', 'us'"
tt0386676,The Office,tvSeries,Comedy,9.0,775241.0,2005.0,ts21621,2.0,13::(self-applied),https://www.netflix.com/title/70136120,Netflix,13+,'us'
tt3032476,Better Call Saul,tvSeries,"Crime, Drama",9.0,732065.0,2015.0,ts8,1.0,tous publics avec avertissement,https://www.netflix.com/title/80021955,Netflix,16+,'us'
tt2442560,Peaky Blinders,tvSeries,"Crime, Drama",8.7,711860.0,2013.0,ts20110,2.0,10::(with warning),https://www.netflix.com/title/80002479,Netflix,16+,'gb'
tt2085059,Black Mirror,tvSeries,"Crime, Drama, Mystery",8.7,693782.0,2011.0,ts278,1.0,16,https://www.netflix.com/title/70264888,Netflix,16+,'gb'
tt10919420,Squid Game,tvSeries,"Action, Drama, Mystery",8.0,663345.0,2021.0,ts220305,1.0,16::(self-applied),https://www.netflix.com/title/81040344,Netflix,16+,'kr'
tt2861424,Rick and Morty,tvSeries,"Adventure, Animation, Comedy",9.1,650189.0,2013.0,ts20233,4.0,12,https://www.netflix.com/title/80014749,Netflix,16+,'us'
tt0411008,Lost,tvSeries,"Adventure, Drama, Fantasy",8.3,641221.0,2004.0,ts21848,2.0,tous publics,https://www.netflix.com/title/70136118,Netflix,16+,'us'
tt0455275,Prison Break,tvSeries,"Action, Crime, Drama",8.3,627772.0,2005.0,ts21422,3.0,tous publics,https://www.netflix.com/title/70140425,Netflix,16+,'us'
tt10048342,The Queen's Gambit,tvMiniSeries,Drama,8.5,617462.0,2020.0,ts89259,1.0,16::(self-applied),https://www.netflix.com/title/80234304,Netflix,16+,'us'
tt2306299,Vikings,tvSeries,"Action, Adventure, Drama",8.5,617302.0,2013.0,ts22413,1.0,12,https://www.netflix.com/title/70301870,Netflix,16+,"'ie', 'ca'"
tt2560140,Attack on Titan,tvSeries,"Action, Adventure, Animation",9.1,610714.0,2013.0,ts20682,5.0,16::(dvd rating),https://www.netflix.com/title/70299043,Netflix,16+,'jp'
tt5180504,The Witcher,tvSeries,"Action, Adventure, Drama",7.9,595564.0,2019.0,ts57327,1.0,16::(self-applied),https://www.netflix.com/title/80189685,Netflix,16+,"'pl', 'hu', 'us', 'gb'"
tt6468322,Money Heist,tvSeries,"Action, Crime, Drama",8.2,571214.0,2017.0,ts56768,1.0,16,https://www.netflix.com/title/80192098,Netflix,16+,'es'
tt0412142,House,tvSeries,"Drama, Mystery",8.7,558518.0,2004.0,ts22280,3.0,tous publics,https://www.netflix.com/title/70136117,Netflix,16+,'us'
tt1856010,House of Cards,tvSeries,Drama,8.6,546925.0,2013.0,ts6,1.0,tous publics,https://www.netflix.com/title/70178217,Netflix,16+,'us'
tt2707408,Narcos,tvSeries,"Biography, Crime, Drama",8.7,501151.0,2015.0,ts36631,1.0,12,https://www.netflix.com/title/80025172,Netflix,16+,"'us', 'co'"
tt5753856,Dark,tvSeries,"Crime, Drama, Mystery",8.7,491627.0,2017.0,ts55668,1.0,16,https://www.netflix.com/title/80100172,Netflix,16+,"'de', 'us'"
tt0877057,Death Note,tvSeries,"Animation, Crime, Drama",8.9,425414.0,2006.0,ts11313,3.0,12::(tv rating),https://www.netflix.com/title/70204970,Netflix,13+,'jp'
tt13443470,Wednesday,tvSeries,"Comedy, Crime, Fantasy",8.0,416742.0,2022.0,ts274631,1.0,13::(self-applied),https://www.netflix.com/title/81231974,Netflix,13+,'us'
tt0417299,Avatar: The Last Airbender,tvSeries,"Action, Adventure, Animation",9.3,406238.0,2005.0,ts83993,7.0,t,https://www.netflix.com/title/70142405,Netflix,10+,"'us', 'kr'"
tt11126994,Arcane,tvSeries,"Action, Adventure, Animation",9.0,395339.0,2021.0,ts222333,1.0,16::(self-applied),https://www.netflix.com/title/81435684,Netflix,16+,"'us', 'fr'"
tt2467372,Brooklyn Nine-Nine,tvSeries,"Comedy, Crime",8.4,394037.0,2013.0,ts11174,1.0,tous publics,https://www.netflix.com/title/70281562,Netflix,13+,'us'
tt7767422,Sex Education,tvSeries,"Comedy, Drama, Romance",8.2,378893.0,2019.0,ts82915,1.0,16,https://www.netflix.com/title/80197526,Netflix,16+,'gb'
