id,title,type,genres,averageRating,numVotes,releaseYear,idjw,NbDiff,ClassifImdb,Diffuseur,SVOD,ClassificationSVOD,CodePays
tt0121955,South Park,tvSeries,"Animation, Comedy",8.7,422746.0,1997.0,ts21792,5.0,16,https://www.mycanal.fr/jeunesse/south-park/h/18101203_50662,MyCanal,-12,'us'
tt0121955,South Park,tvSeries,"Animation, Comedy",8.7,422746.0,1997.0,ts21792,5.0,16,https://www.paramountplus.com/shows/south-park/video/sKBdY6WpPnUgNfpg2T9iCVRP3KNqbHxn/south-park-cartman-gets-an-anal-probe?searchReferral=,Paramount+,16,'us'
tt0417299,Avatar: The Last Airbender,tvSeries,"Action, Adventure, Animation",9.3,406238.0,2005.0,ts83993,7.0,t,https://www.mycanal.fr/jeunesse/avatar-le-dernier-maitre-de-lair/h/5163853_50662,MyCanal,-10,"'us', 'kr'"
tt0417299,Avatar: The Last Airbender,tvSeries,"Action, Adventure, Animation",9.3,406238.0,2005.0,ts83993,7.0,t,https://www.paramountplus.com/shows/avatar-the-last-airbender/video/tgZjahkueAbb4Vx8sKXzc3_93fAqgzNO/avatar-the-last-airbender-the-boy-in-the-iceberg?searchReferral=,Paramount+,6,"'us', 'kr'"
tt1695360,The Legend of Korra,tvSeries,"Action, Adventure, Animation",8.3,145092.0,2012.0,ts20457,6.0,tous publics,https://www.mycanal.fr/jeunesse/la-legende-de-korra/h/4886230_50662,MyCanal,-12,"'us', 'kr', 'jp'"
tt1695360,The Legend of Korra,tvSeries,"Action, Adventure, Animation",8.3,145092.0,2012.0,ts20457,6.0,tous publics,https://www.paramountplus.com/shows/the-legend-of-korra/video/ou_dQPFQrT4674R8KWia8Rk_6sNaTFRw/the-legend-of-korra-welcome-to-republic-city?searchReferral=,Paramount+,12,"'us', 'kr', 'jp'"
tt13991232,1883,tvMiniSeries,"Drama, Western",8.7,142856.0,2021.0,ts272606,5.0,16,https://www.mycanal.fr/series/1883/h/20305486_50662,MyCanal,-12,'us'
tt13991232,1883,tvMiniSeries,"Drama, Western",8.7,142856.0,2021.0,ts272606,5.0,16,https://www.paramountplus.com/shows/1883/video/VnxVyEPcMF6ZqMBQp6u71L8OCE42_XWS/1883-1883?searchReferral=,Paramount+,16,'us'
tt9813792,From,tvSeries,"Drama, Horror, Mystery",7.8,142780.0,2022.0,ts287292,4.0,,https://www.paramountplus.com/shows/from/video/8cXwY8GDHp3Iyd9QSTqmLlI8qPMxZ9qK/from-long-day-s-journey-into-night?searchReferral=,Paramount+,16,'us'
tt9813792,From,tvSeries,"Drama, Horror, Mystery",7.8,142780.0,2022.0,ts287292,4.0,,https://www.mycanal.fr/series/from/h/20246366_50662,MyCanal,-16,'us'
tt5171438,Star Trek: Discovery,tvSeries,"Action, Adventure, Drama",7.0,142353.0,2017.0,ts41351,4.0,16,https://www.paramountplus.com/shows/star-trek-discovery/video/qMXc_KQv73LYnrDAL6v6lUQ73JgRJsMr/star-trek-discovery-the-vulcan-hello?searchReferral=,Paramount+,16,'us'
tt5171438,Star Trek: Discovery,tvSeries,"Action, Adventure, Drama",7.0,142353.0,2017.0,ts41351,4.0,16,https://www.mycanal.fr/series/star-trek-discovery/h/14703456_50662,MyCanal,-16,'us'
