id,title,type,genres,averageRating,numVotes,releaseYear,idjw,NbDiff,ClassifImdb,Diffuseur,SVOD,ClassificationSVOD,CodePays
tt0944947,Game of Thrones,tvSeries,"Action, Adventure, Drama",9.2,2433876.0,2011.0,ts2,3.0,12,https://www.mycanal.fr/series/game-of-thrones/h/40425877_50889,MyCanal,-16,"'us', 'gb'"
tt0108778,Friends,tvSeries,"Comedy, Romance",8.9,1144541.0,1994.0,ts21698,3.0,tous publics,https://www.mycanal.fr/series/friends/h/40492180_50889,MyCanal,-10,'us'
tt7366338,Chernobyl,tvMiniSeries,"Drama, History, Thriller",9.3,949728.0,2019.0,ts88632,3.0,12,https://www.mycanal.fr/series/chernobyl/h/40436206_50889,MyCanal,-12,"'us', 'gb'"
tt0898266,The Big Bang Theory,tvSeries,"Comedy, Romance",8.1,908002.0,2007.0,ts12,3.0,tous publics,https://www.mycanal.fr/series/the-big-bang-theory/h/40422267_50889,MyCanal,-12,'us'
tt2356777,True Detective,tvSeries,"Crime, Drama, Mystery",8.9,703173.0,2014.0,ts20054,3.0,12,https://www.mycanal.fr/series/true-detective/h/40439553_50889,MyCanal,-16,'us'
tt3581920,The Last of Us,tvSeries,"Action, Adventure, Drama",8.6,656337.0,2023.0,ts226904,3.0,16::(self-applied),https://www.mycanal.fr/series/the-last-of-us/h/40427679_50889,MyCanal,-16,"'ca', 'us'"
tt2861424,Rick and Morty,tvSeries,"Adventure, Animation, Comedy",9.1,650189.0,2013.0,ts20233,4.0,12,https://www.mycanal.fr/series/rick-and-morty/h/40421495_50889,MyCanal,-16,'us'
tt0185906,Band of Brothers,tvMiniSeries,"Action, Drama, History",9.4,562005.0,2001.0,ts17149,3.0,tous publics::(with warning),https://www.mycanal.fr/series/band-of-brothers/h/40428382_50889,MyCanal,-16,"'gb', 'us'"
tt0141842,The Sopranos,tvSeries,"Crime, Drama",9.2,524810.0,1999.0,ts20995,3.0,tous publics,https://www.mycanal.fr/series/les-soprano/h/40427482_50889,MyCanal,-16,'us'
tt0460681,Supernatural,tvSeries,"Drama, Fantasy, Horror",8.4,511939.0,2005.0,ts21465,3.0,16,https://www.mycanal.fr/series/supernatural/h/40431599_50889,MyCanal,-16,'us'
tt11198330,House of the Dragon,tvSeries,"Action, Adventure, Drama",8.3,476235.0,2022.0,ts222558,3.0,12::(self-applied),https://www.mycanal.fr/series/house-of-the-dragon/h/40425913_50889,MyCanal,-16,'us'
tt2193021,Arrow,tvSeries,"Action, Adventure, Crime",7.5,454174.0,2012.0,ts17598,3.0,tous publics,https://www.mycanal.fr/series/arrow/h/40507049_50889,MyCanal,-16,'us'
tt2802850,Fargo,tvSeries,"Crime, Drama, Thriller",8.8,444888.0,2014.0,ts8345,3.0,tous publics,https://www.canalplus.com/series/fargo-saison-1-episode-1/h/10027927_50001?episodeId=10026448_50001,Canal+,-12,'us'
tt0121955,South Park,tvSeries,"Animation, Comedy",8.7,422746.0,1997.0,ts21792,5.0,16,https://www.mycanal.fr/jeunesse/south-park/h/18101203_50662,MyCanal,-12,'us'
