id,title,type,genres,averageRating,numVotes,releaseYear,idjw,NbDiff,ClassifImdb,Diffuseur,SVOD,ClassificationSVOD,CodePays
tt0773262,Dexter,tvSeries,"Crime, Drama, Mystery",8.6,843967.0,2006.0,ts10620,3.0,12,https://www.paramountplus.com/shows/dexter/video/_1ssUsDXSuoUUyItv1b5sLDoihEEC6v0/dexter-dexter?searchReferral=,Paramount+,18,'us'
tt0773262,Dexter,tvSeries,"Crime, Drama, Mystery",8.6,843967.0,2006.0,ts10620,3.0,12,https://tv.apple.com/fr/show/dexter/umc.cmc.2w8cp3aur89y8id4cfk2engfu?at=1000l3V2&ct=app_tv&itscg=30200&itsct=justwatch_tv_12,AppleTV+,-18,'us'
tt0121955,South Park,tvSeries,"Animation, Comedy",8.7,422746.0,1997.0,ts21792,5.0,16,https://tv.apple.com/fr/show/south-park/umc.cmc.1n9fnkfiemhayikewq5xitzn6?at=1000l3V2&ct=app_tv&itscg=30200&itsct=justwatch_tv_12,AppleTV+,-16,'us'
tt0121955,South Park,tvSeries,"Animation, Comedy",8.7,422746.0,1997.0,ts21792,5.0,16,https://www.paramountplus.com/shows/south-park/video/sKBdY6WpPnUgNfpg2T9iCVRP3KNqbHxn/south-park-cartman-gets-an-anal-probe?searchReferral=,Paramount+,16,'us'
tt0417299,Avatar: The Last Airbender,tvSeries,"Action, Adventure, Animation",9.3,406238.0,2005.0,ts83993,7.0,t,https://www.paramountplus.com/shows/avatar-the-last-airbender/video/tgZjahkueAbb4Vx8sKXzc3_93fAqgzNO/avatar-the-last-airbender-the-boy-in-the-iceberg?searchReferral=,Paramount+,6,"'us', 'kr'"
tt0417299,Avatar: The Last Airbender,tvSeries,"Action, Adventure, Animation",9.3,406238.0,2005.0,ts83993,7.0,t,https://tv.apple.com/fr/show/avatar--le-dernier-maitre-de-lair/umc.cmc.4d38ljozi439j6g8e5m5o2bv5?at=1000l3V2&ct=app_tv&itscg=30200&itsct=justwatch_tv_12,AppleTV+,Tout public,"'us', 'kr'"
tt4236770,Yellowstone,tvSeries,"Drama, Western",8.6,275341.0,2018.0,ts75269,4.0,10,https://www.paramountplus.com/shows/yellowstone/video/vPXPeC4posOemTL_KvmcbAPhi6j_s7_f/yellowstone-daybreak?searchReferral=,Paramount+,16,'us'
tt4236770,Yellowstone,tvSeries,"Drama, Western",8.6,275341.0,2018.0,ts75269,4.0,10,https://tv.apple.com/fr/show/yellowstone/umc.cmc.2bnarwrthyaosxk1pkoefxzj0?at=1000l3V2&ct=app_tv&itscg=30200&itsct=justwatch_tv_12,AppleTV+,-18,'us'
tt0098936,Twin Peaks,tvSeries,"Crime, Drama, Mystery",8.7,231687.0,1990.0,ts86729,3.0,tous publics,https://tv.apple.com/fr/show/twin-peaks/umc.cmc.1n2apxyl1chm6vcebyfefmqdk?at=1000l3V2&ct=app_tv&itscg=30200&itsct=justwatch_tv_12,AppleTV+,-16,'us'
tt0098936,Twin Peaks,tvSeries,"Crime, Drama, Mystery",8.7,231687.0,1990.0,ts86729,3.0,tous publics,https://www.paramountplus.com/shows/twin_peaks/video/qz6_KVVXyRiODjJtNJeD_ebTxxa_m1QV/twin-peaks-pilot?searchReferral=,Paramount+,16,'us'
