id,title,type,genres,averageRating,numVotes,releaseYear,idjw,NbDiff,ClassifImdb,Diffuseur,SVOD,ClassificationSVOD,CodePays
tt0944947,Game of Thrones,tvSeries,"Action, Adventure, Drama",9.2,2433876.0,2011.0,ts2,3.0,12,https://app.primevideo.com/detail?gti=amzn1.dv.gti.eeb636ff-9e45-9d69-b5f3-91dd85e00fd4,Prime Video,18+,"'us', 'gb'"
tt0944947,Game of Thrones,tvSeries,"Action, Adventure, Drama",9.2,2433876.0,2011.0,ts2,3.0,12,https://www.mycanal.fr/series/game-of-thrones/h/40425877_50889,MyCanal,-16,"'us', 'gb'"
tt0108778,Friends,tvSeries,"Comedy, Romance",8.9,1144541.0,1994.0,ts21698,3.0,tous publics,https://www.mycanal.fr/series/friends/h/40492180_50889,MyCanal,-10,'us'
tt0108778,Friends,tvSeries,"Comedy, Romance",8.9,1144541.0,1994.0,ts21698,3.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.784c2427-0f15-4da4-8949-aa9bf384be68,Prime Video,TOUS PUBLICS,'us'
tt7366338,Chernobyl,tvMiniSeries,"Drama, History, Thriller",9.3,949728.0,2019.0,ts88632,3.0,12,https://app.primevideo.com/detail?gti=amzn1.dv.gti.e64942d3-2bb8-438f-adb2-3e5c2b4f48b2,Prime Video,18+,"'us', 'gb'"
tt7366338,Chernobyl,tvMiniSeries,"Drama, History, Thriller",9.3,949728.0,2019.0,ts88632,3.0,12,https://www.mycanal.fr/series/chernobyl/h/40436206_50889,MyCanal,-12,"'us', 'gb'"
tt0898266,The Big Bang Theory,tvSeries,"Comedy, Romance",8.1,908002.0,2007.0,ts12,3.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.87e8bf22-e8c4-4b2a-9bcb-3b809deaf055,Prime Video,TOUS PUBLICS,'us'
tt0898266,The Big Bang Theory,tvSeries,"Comedy, Romance",8.1,908002.0,2007.0,ts12,3.0,tous publics,https://www.mycanal.fr/series/the-big-bang-theory/h/40422267_50889,MyCanal,-12,'us'
tt2356777,True Detective,tvSeries,"Crime, Drama, Mystery",8.9,703173.0,2014.0,ts20054,3.0,12,https://www.mycanal.fr/series/true-detective/h/40439553_50889,MyCanal,-16,'us'
tt2356777,True Detective,tvSeries,"Crime, Drama, Mystery",8.9,703173.0,2014.0,ts20054,3.0,12,https://app.primevideo.com/detail?gti=amzn1.dv.gti.8b96ae49-3860-49a5-8d15-7bd50c2ef008,Prime Video,18+,'us'
tt3581920,The Last of Us,tvSeries,"Action, Adventure, Drama",8.6,656337.0,2023.0,ts226904,3.0,16::(self-applied),https://app.primevideo.com/detail?gti=amzn1.dv.gti.4da38bd7-53a9-4fde-8a33-6bf9f9f9d116,Prime Video,16+,"'ca', 'us'"
tt3581920,The Last of Us,tvSeries,"Action, Adventure, Drama",8.6,656337.0,2023.0,ts226904,3.0,16::(self-applied),https://www.mycanal.fr/series/the-last-of-us/h/40427679_50889,MyCanal,-16,"'ca', 'us'"
tt2861424,Rick and Morty,tvSeries,"Adventure, Animation, Comedy",9.1,650189.0,2013.0,ts20233,4.0,12,https://www.mycanal.fr/series/rick-and-morty/h/40421495_50889,MyCanal,-16,'us'
tt2861424,Rick and Morty,tvSeries,"Adventure, Animation, Comedy",9.1,650189.0,2013.0,ts20233,4.0,12,https://app.primevideo.com/detail?gti=amzn1.dv.gti.7e026005-b261-4750-97ac-72da097d3437,Prime Video,16+,'us'
tt0185906,Band of Brothers,tvMiniSeries,"Action, Drama, History",9.4,562005.0,2001.0,ts17149,3.0,tous publics::(with warning),https://app.primevideo.com/detail?gti=amzn1.dv.gti.f82f2fa1-1ca3-4bb5-a135-dcee6451b309,Prime Video,18+,"'gb', 'us'"
tt0185906,Band of Brothers,tvMiniSeries,"Action, Drama, History",9.4,562005.0,2001.0,ts17149,3.0,tous publics::(with warning),https://www.mycanal.fr/series/band-of-brothers/h/40428382_50889,MyCanal,-16,"'gb', 'us'"
tt0141842,The Sopranos,tvSeries,"Crime, Drama",9.2,524810.0,1999.0,ts20995,3.0,tous publics,https://www.mycanal.fr/series/les-soprano/h/40427482_50889,MyCanal,-16,'us'
tt0141842,The Sopranos,tvSeries,"Crime, Drama",9.2,524810.0,1999.0,ts20995,3.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.02a38ae7-44a8-4040-949f-777f566c58b0,Prime Video,18+,'us'
tt0460681,Supernatural,tvSeries,"Drama, Fantasy, Horror",8.4,511939.0,2005.0,ts21465,3.0,16,https://www.mycanal.fr/series/supernatural/h/40431599_50889,MyCanal,-16,'us'
tt0460681,Supernatural,tvSeries,"Drama, Fantasy, Horror",8.4,511939.0,2005.0,ts21465,3.0,16,https://app.primevideo.com/detail?gti=amzn1.dv.gti.3ea9f699-8c1a-927c-2f88-d2b9900305e3,Prime Video,16+,'us'
tt11198330,House of the Dragon,tvSeries,"Action, Adventure, Drama",8.3,476235.0,2022.0,ts222558,3.0,12::(self-applied),https://app.primevideo.com/detail?gti=amzn1.dv.gti.ac541637-f9fc-4f20-8f5a-3975d473fa0e,Prime Video,16+,'us'
tt11198330,House of the Dragon,tvSeries,"Action, Adventure, Drama",8.3,476235.0,2022.0,ts222558,3.0,12::(self-applied),https://www.mycanal.fr/series/house-of-the-dragon/h/40425913_50889,MyCanal,-16,'us'
tt2193021,Arrow,tvSeries,"Action, Adventure, Crime",7.5,454174.0,2012.0,ts17598,3.0,tous publics,https://www.mycanal.fr/series/arrow/h/40507049_50889,MyCanal,-16,'us'
tt2193021,Arrow,tvSeries,"Action, Adventure, Crime",7.5,454174.0,2012.0,ts17598,3.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.5a444fd2-4046-4863-a365-4d4cbdb1401b,Prime Video,16+,'us'
tt2802850,Fargo,tvSeries,"Crime, Drama, Thriller",8.8,444888.0,2014.0,ts8345,3.0,tous publics,https://www.canalplus.com/series/fargo-saison-1-episode-1/h/10027927_50001?episodeId=10026448_50001,Canal+,-12,'us'
tt2802850,Fargo,tvSeries,"Crime, Drama, Thriller",8.8,444888.0,2014.0,ts8345,3.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.3aa9f7ba-7328-4bc4-422f-a20ba2ad9584,Prime Video,18+,'us'
tt2802850,Fargo,tvSeries,"Crime, Drama, Thriller",8.8,444888.0,2014.0,ts8345,3.0,tous publics,https://www.canalplus.com/series/fargo/h/10026448_50076,Canal+,-12,'us'
