id,title,type,genres,averageRating,numVotes,releaseYear,idjw,NbDiff,ClassifImdb,Diffuseur,SVOD,ClassificationSVOD,CodePays
tt0388629,One Piece,tvSeries,"Action, Adventure, Animation",8.9,297232.0,1999.0,ts255424,4.0,10,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fone-piece%2F51v2bboWfjUi&subId3=justappsvod,Disney+,12+,'jp'
tt0388629,One Piece,tvSeries,"Action, Adventure, Animation",8.9,297232.0,1999.0,ts255424,4.0,10,https://app.primevideo.com/detail?gti=amzn1.dv.gti.13a369c0-79c2-4c03-a3a9-b1f4a41406d4,Prime Video,16+,'jp'
tt0452046,Criminal Minds,tvSeries,"Crime, Drama, Mystery",8.1,230363.0,2005.0,ts6495,6.0,12,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fesprits-criminels%2F6PNwItKkiA6Z&subId3=justappsvod,Disney+,16+,'us'
tt0452046,Criminal Minds,tvSeries,"Crime, Drama, Mystery",8.1,230363.0,2005.0,ts6495,6.0,12,https://app.primevideo.com/detail?gti=amzn1.dv.gti.a6973cf2-6fdb-4483-8f6a-fe235c74f01b,Prime Video,18+,'us'
tt0285331,24,tvSeries,"Action, Crime, Drama",8.4,202505.0,2001.0,ts7688,4.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.8ab9293a-7e93-0aef-c4c1-7e6c1a6daee0,Prime Video,16+,'us'
tt0285331,24,tvSeries,"Action, Crime, Drama",8.4,202505.0,2001.0,ts7688,4.0,tous publics,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2F24-heures-chrono%2F4fLKg4bFPAOl&subId3=justappsvod,Disney+,16+,'us'
tt0460627,Bones,tvSeries,"Crime, Drama, Mystery",7.8,183977.0,2005.0,ts11895,3.0,10,https://app.primevideo.com/detail?gti=amzn1.dv.gti.3ea9f6ce-07d8-bf6a-01e0-8699a0971ff7,Prime Video,18+,'us'
tt0460627,Bones,tvSeries,"Crime, Drama, Mystery",7.8,183977.0,2005.0,ts11895,3.0,10,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fbones%2F3R0zhkw7f4TH&subId3=justappsvod,Disney+,16+,'us'
tt0118276,Buffy the Vampire Slayer,tvSeries,"Action, Adventure, Drama",8.3,167692.0,1997.0,ts15445,3.0,10,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fbuffy-contre-les-vampires%2FDmJepBrlNiUe&subId3=justappsvod,Disney+,12+,'us'
tt0118276,Buffy the Vampire Slayer,tvSeries,"Action, Adventure, Drama",8.3,167692.0,1997.0,ts15445,3.0,10,https://app.primevideo.com/detail?gti=amzn1.dv.gti.dcb78d06-86ca-52d5-b7b0-c637946c6f3d,Prime Video,16+,'us'
tt1327801,Glee,tvSeries,"Comedy, Drama, Music",6.8,158706.0,2009.0,ts21231,2.0,tous publics::(dvd rating),https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fglee%2F5h5XCwlaqNBK&subId3=justappsvod,Disney+,12+,'us'
tt1327801,Glee,tvSeries,"Comedy, Drama, Music",6.8,158706.0,2009.0,ts21231,2.0,tous publics::(dvd rating),https://app.primevideo.com/detail?gti=amzn1.dv.gti.deb8f65e-ec37-e51b-35e3-a061b5d7a70b,Prime Video,7+,'us'
tt6226232,Young Sheldon,tvSeries,Comedy,7.7,133005.0,2017.0,ts57131,5.0,tous publics,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fyoung-sheldon%2F1wdnMLKAtHnd&subId3=justappsvod,Disney+,12+,'us'
tt6226232,Young Sheldon,tvSeries,Comedy,7.7,133005.0,2017.0,ts57131,5.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.2cf21543-71ec-4825-983a-394d40cb88a1,Prime Video,TOUS PUBLICS,'us'
tt13196080,Tokyo Revengers,tvSeries,"Action, Animation, Drama",7.8,29549.0,2021.0,ts249912,3.0,7,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Ftokyo-revengers%2F4HFbN55sAh0i&subId3=justappsvod,Disney+,16+,'jp'
tt13196080,Tokyo Revengers,tvSeries,"Action, Animation, Drama",7.8,29549.0,2021.0,ts249912,3.0,7,https://app.primevideo.com/detail?gti=amzn1.dv.gti.fc1bfea2-314b-44b1-9842-1c9c17cd236d,Prime Video,18+,'jp'
tt0106179,The X-Files,tvSeries,"Adventure, Crime, Drama",8.6,262473.0,1993.0,ts20974,2.0,tous publics,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fx-files%2F5suiTvtcMtxC&subId3=justappsvod,Disney+,16+,'us'
tt0106179,The X-Files,tvSeries,"Adventure, Crime, Drama",8.6,262473.0,1993.0,ts20974,2.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.0cae8806-15ec-599d-c5cf-164489610fbc,Prime Video,18+,'us'
