id,title,type,genres,averageRating,numVotes,releaseYear,idjw,NbDiff,ClassifImdb,Diffuseur,SVOD,ClassificationSVOD,CodePays
tt0944947,Game of Thrones,tvSeries,"Action, Adventure, Drama",9.2,2433876.0,2011.0,ts2,3.0,12,https://app.primevideo.com/detail?gti=amzn1.dv.gti.eeb636ff-9e45-9d69-b5f3-91dd85e00fd4,Prime Video,18+,"'us', 'gb'"
tt0108778,Friends,tvSeries,"Comedy, Romance",8.9,1144541.0,1994.0,ts21698,3.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.784c2427-0f15-4da4-8949-aa9bf384be68,Prime Video,TOUS PUBLICS,'us'
tt1475582,Sherlock,tvSeries,"Crime, Drama, Mystery",9.0,1048301.0,2010.0,ts21538,2.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.25fbee69-ed93-4cca-bab4-c8f9f4d3f998,Prime Video,16+,"'gb', 'us'"
tt7366338,Chernobyl,tvMiniSeries,"Drama, History, Thriller",9.3,949728.0,2019.0,ts88632,3.0,12,https://app.primevideo.com/detail?gti=amzn1.dv.gti.e64942d3-2bb8-438f-adb2-3e5c2b4f48b2,Prime Video,18+,"'us', 'gb'"
tt0898266,The Big Bang Theory,tvSeries,"Comedy, Romance",8.1,908002.0,2007.0,ts12,3.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.87e8bf22-e8c4-4b2a-9bcb-3b809deaf055,Prime Video,TOUS PUBLICS,'us'
tt0773262,Dexter,tvSeries,"Crime, Drama, Mystery",8.6,843967.0,2006.0,ts10620,3.0,12,https://www.primevideo.com/detail/0MZFO9CZW2OOYPKLWW8P6NKD0O,Prime Video,18+,'us'
tt1190634,The Boys,tvSeries,"Action, Comedy, Crime",8.6,777469.0,2019.0,ts78125,1.0,18,https://app.primevideo.com/detail?gti=amzn1.dv.gti.9ab600aa-6625-b547-cfc0-190e3ad8a27d,Prime Video,18+,'us'
tt0386676,The Office,tvSeries,Comedy,9.0,775241.0,2005.0,ts21621,2.0,13::(self-applied),https://app.primevideo.com/detail?gti=amzn1.dv.gti.e8b0291b-34a6-d376-9732-9616a6f352c6,Prime Video,16+,'us'
tt2442560,Peaky Blinders,tvSeries,"Crime, Drama",8.7,711860.0,2013.0,ts20110,2.0,10::(with warning),https://app.primevideo.com/detail?gti=amzn1.dv.gti.24b8776e-16e0-e3e3-67e8-b144e97d7728,Prime Video,18+,'gb'
tt2356777,True Detective,tvSeries,"Crime, Drama, Mystery",8.9,703173.0,2014.0,ts20054,3.0,12,https://app.primevideo.com/detail?gti=amzn1.dv.gti.8b96ae49-3860-49a5-8d15-7bd50c2ef008,Prime Video,18+,'us'
tt3581920,The Last of Us,tvSeries,"Action, Adventure, Drama",8.6,656337.0,2023.0,ts226904,3.0,16::(self-applied),https://app.primevideo.com/detail?gti=amzn1.dv.gti.4da38bd7-53a9-4fde-8a33-6bf9f9f9d116,Prime Video,16+,"'ca', 'us'"
tt2861424,Rick and Morty,tvSeries,"Adventure, Animation, Comedy",9.1,650189.0,2013.0,ts20233,4.0,12,https://app.primevideo.com/detail?gti=amzn1.dv.gti.7e026005-b261-4750-97ac-72da097d3437,Prime Video,16+,'us'
tt2560140,Attack on Titan,tvSeries,"Action, Adventure, Animation",9.1,610714.0,2013.0,ts20682,5.0,16::(dvd rating),https://app.primevideo.com/detail?gti=amzn1.dv.gti.28a9f684-21e7-1820-db3f-87f21a0dd1a5,Prime Video,18+,'jp'
tt0185906,Band of Brothers,tvMiniSeries,"Action, Drama, History",9.4,562005.0,2001.0,ts17149,3.0,tous publics::(with warning),https://app.primevideo.com/detail?gti=amzn1.dv.gti.f82f2fa1-1ca3-4bb5-a135-dcee6451b309,Prime Video,18+,"'gb', 'us'"
tt0412142,House,tvSeries,"Drama, Mystery",8.7,558518.0,2004.0,ts22280,3.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.985bb3c2-a248-4124-86c5-b93a81e986b6,Prime Video,18+,'us'
tt0141842,The Sopranos,tvSeries,"Crime, Drama",9.2,524810.0,1999.0,ts20995,3.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.02a38ae7-44a8-4040-949f-777f566c58b0,Prime Video,18+,'us'
tt0460681,Supernatural,tvSeries,"Drama, Fantasy, Horror",8.4,511939.0,2005.0,ts21465,3.0,16,https://app.primevideo.com/detail?gti=amzn1.dv.gti.3ea9f699-8c1a-927c-2f88-d2b9900305e3,Prime Video,16+,'us'
tt11198330,House of the Dragon,tvSeries,"Action, Adventure, Drama",8.3,476235.0,2022.0,ts222558,3.0,12::(self-applied),https://app.primevideo.com/detail?gti=amzn1.dv.gti.ac541637-f9fc-4f20-8f5a-3975d473fa0e,Prime Video,16+,'us'
tt2193021,Arrow,tvSeries,"Action, Adventure, Crime",7.5,454174.0,2012.0,ts17598,3.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.5a444fd2-4046-4863-a365-4d4cbdb1401b,Prime Video,16+,'us'
tt2802850,Fargo,tvSeries,"Crime, Drama, Thriller",8.8,444888.0,2014.0,ts8345,3.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.3aa9f7ba-7328-4bc4-422f-a20ba2ad9584,Prime Video,18+,'us'
tt0877057,Death Note,tvSeries,"Animation, Crime, Drama",8.9,425414.0,2006.0,ts11313,3.0,12::(tv rating),https://app.primevideo.com/detail?gti=amzn1.dv.gti.94af1091-bc97-a32b-3fdc-e55b21a4b690,Prime Video,16+,'jp'
tt7631058,The Lord of the Rings: The Rings of Power,tvSeries,"Action, Adventure, Drama",6.9,425217.0,2022.0,ts325752,1.0,13::(self-applied),https://app.primevideo.com/detail?gti=amzn1.dv.gti.eedf35c9-fa32-4c9f-8516-bfa78ab759de,Prime Video,13+,"'us', 'nz', 'ca'"
tt0121955,South Park,tvSeries,"Animation, Comedy",8.7,422746.0,1997.0,ts21792,5.0,16,https://app.primevideo.com/detail?gti=amzn1.dv.gti.c32772b2-28a5-4706-9409-4ab4324bf93c,Prime Video,18+,'us'
tt0417299,Avatar: The Last Airbender,tvSeries,"Action, Adventure, Animation",9.3,406238.0,2005.0,ts83993,7.0,t,https://app.primevideo.com/detail?gti=amzn1.dv.gti.809aa481-8a12-4cd2-8d0e-85a0125acafe,Prime Video,13+,"'us', 'kr'"
tt0306414,The Wire,tvSeries,"Crime, Drama, Thriller",9.3,403330.0,2002.0,ts22047,3.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.7145d133-fa9c-4beb-82c7-37f23a419762,Prime Video,18+,'us'
tt1405406,The Vampire Diaries,tvSeries,"Drama, Fantasy, Horror",7.7,366922.0,2009.0,ts21247,4.0,10,https://app.primevideo.com/detail?gti=amzn1.dv.gti.149977ca-e1a3-433b-bffd-0e8a2f3e0939,Prime Video,18+,'us'
tt7660850,Succession,tvSeries,"Comedy, Drama",8.8,317339.0,2018.0,ts77979,3.0,12,https://app.primevideo.com/detail?gti=amzn1.dv.gti.1ab66f4f-7367-30a5-1d35-485ed0884d54,Prime Video,18+,'us'
