id,title,type,genres,averageRating,numVotes,releaseYear,idjw,NbDiff,ClassifImdb,Diffuseur,SVOD,ClassificationSVOD,CodePays
tt1475582,Sherlock,tvSeries,"Crime, Drama, Mystery",9.0,1048301.0,2010.0,ts21538,2.0,tous publics,https://www.netflix.com/title/70202589,Netflix,13+,"'gb', 'us'"
tt1475582,Sherlock,tvSeries,"Crime, Drama, Mystery",9.0,1048301.0,2010.0,ts21538,2.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.25fbee69-ed93-4cca-bab4-c8f9f4d3f998,Prime Video,16+,"'gb', 'us'"
tt0386676,The Office,tvSeries,Comedy,9.0,775241.0,2005.0,ts21621,2.0,13::(self-applied),https://app.primevideo.com/detail?gti=amzn1.dv.gti.e8b0291b-34a6-d376-9732-9616a6f352c6,Prime Video,16+,'us'
tt0386676,The Office,tvSeries,Comedy,9.0,775241.0,2005.0,ts21621,2.0,13::(self-applied),https://www.netflix.com/title/70136120,Netflix,13+,'us'
tt2442560,Peaky Blinders,tvSeries,"Crime, Drama",8.7,711860.0,2013.0,ts20110,2.0,10::(with warning),https://app.primevideo.com/detail?gti=amzn1.dv.gti.24b8776e-16e0-e3e3-67e8-b144e97d7728,Prime Video,18+,'gb'
tt2442560,Peaky Blinders,tvSeries,"Crime, Drama",8.7,711860.0,2013.0,ts20110,2.0,10::(with warning),https://www.netflix.com/title/80002479,Netflix,16+,'gb'
tt2861424,Rick and Morty,tvSeries,"Adventure, Animation, Comedy",9.1,650189.0,2013.0,ts20233,4.0,12,https://www.netflix.com/title/80014749,Netflix,16+,'us'
tt2861424,Rick and Morty,tvSeries,"Adventure, Animation, Comedy",9.1,650189.0,2013.0,ts20233,4.0,12,https://app.primevideo.com/detail?gti=amzn1.dv.gti.7e026005-b261-4750-97ac-72da097d3437,Prime Video,16+,'us'
tt2560140,Attack on Titan,tvSeries,"Action, Adventure, Animation",9.1,610714.0,2013.0,ts20682,5.0,16::(dvd rating),https://www.netflix.com/title/70299043,Netflix,16+,'jp'
tt2560140,Attack on Titan,tvSeries,"Action, Adventure, Animation",9.1,610714.0,2013.0,ts20682,5.0,16::(dvd rating),https://app.primevideo.com/detail?gti=amzn1.dv.gti.28a9f684-21e7-1820-db3f-87f21a0dd1a5,Prime Video,18+,'jp'
tt2560140,Attack on Titan,tvSeries,"Action, Adventure, Animation",9.1,610714.0,2013.0,ts20682,5.0,16::(dvd rating),https://app.primevideo.com/detail?gti=amzn1.dv.gti.ccbc22a6-c072-7744-9891-5b4742c69074,Prime Video,18+,'jp'
tt0412142,House,tvSeries,"Drama, Mystery",8.7,558518.0,2004.0,ts22280,3.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.985bb3c2-a248-4124-86c5-b93a81e986b6,Prime Video,18+,'us'
tt0412142,House,tvSeries,"Drama, Mystery",8.7,558518.0,2004.0,ts22280,3.0,tous publics,https://www.netflix.com/title/70136117,Netflix,16+,'us'
tt0877057,Death Note,tvSeries,"Animation, Crime, Drama",8.9,425414.0,2006.0,ts11313,3.0,12::(tv rating),https://app.primevideo.com/detail?gti=amzn1.dv.gti.94af1091-bc97-a32b-3fdc-e55b21a4b690,Prime Video,16+,'jp'
tt0877057,Death Note,tvSeries,"Animation, Crime, Drama",8.9,425414.0,2006.0,ts11313,3.0,12::(tv rating),https://www.netflix.com/title/70204970,Netflix,13+,'jp'
tt0417299,Avatar: The Last Airbender,tvSeries,"Action, Adventure, Animation",9.3,406238.0,2005.0,ts83993,7.0,t,https://app.primevideo.com/detail?gti=amzn1.dv.gti.809aa481-8a12-4cd2-8d0e-85a0125acafe,Prime Video,13+,"'us', 'kr'"
tt0417299,Avatar: The Last Airbender,tvSeries,"Action, Adventure, Animation",9.3,406238.0,2005.0,ts83993,7.0,t,https://app.primevideo.com/detail?gti=amzn1.dv.gti.85bfb805-1b72-4fa0-9512-f29492aeb5dd,Prime Video,TOUS PUBLICS,"'us', 'kr'"
tt0417299,Avatar: The Last Airbender,tvSeries,"Action, Adventure, Animation",9.3,406238.0,2005.0,ts83993,7.0,t,https://www.netflix.com/title/70142405,Netflix,10+,"'us', 'kr'"
tt1405406,The Vampire Diaries,tvSeries,"Drama, Fantasy, Horror",7.7,366922.0,2009.0,ts21247,4.0,10,https://app.primevideo.com/detail?gti=amzn1.dv.gti.149977ca-e1a3-433b-bffd-0e8a2f3e0939,Prime Video,18+,'us'
tt1405406,The Vampire Diaries,tvSeries,"Drama, Fantasy, Horror",7.7,366922.0,2009.0,ts21247,4.0,10,https://www.netflix.com/title/70143860,Netflix,16+,'us'
tt4236770,Yellowstone,tvSeries,"Drama, Western",8.6,275341.0,2018.0,ts75269,4.0,10,https://www.netflix.com/title/80238738,Netflix,16+,'us'
tt4236770,Yellowstone,tvSeries,"Drama, Western",8.6,275341.0,2018.0,ts75269,4.0,10,https://app.primevideo.com/detail?gti=amzn1.dv.gti.0ab2103f-74b5-a20c-5d65-4193b9ef52fa,Prime Video,18+,'us'
tt4508902,One Punch Man,tvSeries,"Action, Animation, Comedy",8.7,201791.0,2015.0,ts37539,3.0,12::(dvd rating),https://www.netflix.com/title/80117291,Netflix,16+,'jp'
tt4508902,One Punch Man,tvSeries,"Action, Animation, Comedy",8.7,201791.0,2015.0,ts37539,3.0,12::(dvd rating),https://app.primevideo.com/detail?gti=amzn1.dv.gti.ab609b3c-9e32-4147-b21d-32e78eebce27,Prime Video,16+,'jp'
tt0988824,Naruto: Shippuden,tvSeries,"Action, Adventure, Animation",8.7,198027.0,2007.0,ts22069,5.0,tous publics,https://www.netflix.com/title/80000603,Netflix,13+,'jp'
tt0988824,Naruto: Shippuden,tvSeries,"Action, Adventure, Animation",8.7,198027.0,2007.0,ts22069,5.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.ffa353be-ac68-4d9b-a151-c11bff5f4de1,Prime Video,16+,'jp'
tt0988824,Naruto: Shippuden,tvSeries,"Action, Adventure, Animation",8.7,198027.0,2007.0,ts22069,5.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.4738d5a2-8649-40cb-b971-ae9dc0ea58c0,Prime Video,16+,'jp'
tt0988824,Naruto: Shippuden,tvSeries,"Action, Adventure, Animation",8.7,198027.0,2007.0,ts22069,5.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.8ab85087-71a9-836e-90c9-e08ac5eb0f0a,Prime Video,16+,'jp'
tt9335498,Demon Slayer: Kimetsu no Yaiba,tvSeries,"Action, Adventure, Animation",8.6,187323.0,2019.0,ts87466,7.0,tous publics avec avertissement,https://app.primevideo.com/detail?gti=amzn1.dv.gti.f79d486e-5987-42d7-9726-07a405390959,Prime Video,16+,'jp'
tt9335498,Demon Slayer: Kimetsu no Yaiba,tvSeries,"Action, Adventure, Animation",8.6,187323.0,2019.0,ts87466,7.0,tous publics avec avertissement,https://app.primevideo.com/detail?gti=amzn1.dv.gti.2faec5c1-2d67-4f07-89f6-4c7cb1ae41f8,Prime Video,16+,'jp'
tt9335498,Demon Slayer: Kimetsu no Yaiba,tvSeries,"Action, Adventure, Animation",8.6,187323.0,2019.0,ts87466,7.0,tous publics avec avertissement,https://app.primevideo.com/detail?gti=amzn1.dv.gti.0aeb3773-33f6-49ab-b02d-4e7b35490762,Prime Video,18+,'jp'
tt9335498,Demon Slayer: Kimetsu no Yaiba,tvSeries,"Action, Adventure, Animation",8.6,187323.0,2019.0,ts87466,7.0,tous publics avec avertissement,https://www.netflix.com/title/81091393,Netflix,16+,'jp'
tt2098220,Hunter x Hunter,tvSeries,"Action, Adventure, Animation",9.0,163874.0,2011.0,ts32835,3.0,tous publics::(dvd rating),https://app.primevideo.com/detail?gti=amzn1.dv.gti.72b912f2-c45f-398a-d1ed-d5d9e4d9bac9,Prime Video,16+,'jp'
tt2098220,Hunter x Hunter,tvSeries,"Action, Adventure, Animation",9.0,163874.0,2011.0,ts32835,3.0,tous publics::(dvd rating),https://app.primevideo.com/detail?gti=amzn1.dv.gti.8dbd4c6c-ec45-4da5-8340-cd31da362791,Prime Video,13+,'jp'
tt2098220,Hunter x Hunter,tvSeries,"Action, Adventure, Animation",9.0,163874.0,2011.0,ts32835,3.0,tous publics::(dvd rating),https://www.netflix.com/title/70300472,Netflix,16+,'jp'
tt12343534,Jujutsu Kaisen,tvSeries,"Action, Adventure, Animation",8.5,154106.0,2020.0,ts222852,4.0,not rated,https://www.netflix.com/title/81278456,Netflix,16+,"'jp', 'us'"
tt12343534,Jujutsu Kaisen,tvSeries,"Action, Adventure, Animation",8.5,154106.0,2020.0,ts222852,4.0,not rated,https://app.primevideo.com/detail?gti=amzn1.dv.gti.7ad07549-89c6-4407-a5b8-790c43228c4c,Prime Video,18+,"'jp', 'us'"
tt0409591,Naruto,tvSeries,"Action, Adventure, Animation",8.4,147095.0,2002.0,ts20305,5.0,10,https://app.primevideo.com/detail?gti=amzn1.dv.gti.5eb6f772-ac40-3165-11cf-4eaaa6925a0d,Prime Video,13+,'jp'
tt0409591,Naruto,tvSeries,"Action, Adventure, Animation",8.4,147095.0,2002.0,ts20305,5.0,10,https://app.primevideo.com/detail?gti=amzn1.dv.gti.b3950f8e-c0fc-456f-a32b-0b7b5d4c563d,Prime Video,16+,'jp'
tt0409591,Naruto,tvSeries,"Action, Adventure, Animation",8.4,147095.0,2002.0,ts20305,5.0,10,https://app.primevideo.com/detail?gti=amzn1.dv.gti.cf97c16e-3bf1-44a9-a085-79f8f33e741e,Prime Video,13+,'jp'
tt0409591,Naruto,tvSeries,"Action, Adventure, Animation",8.4,147095.0,2002.0,ts20305,5.0,10,https://www.netflix.com/title/70205012,Netflix,13+,'jp'
tt0092455,Star Trek: The Next Generation,tvSeries,"Action, Adventure, Drama",8.7,143781.0,1987.0,ts22504,3.0,tous publics::(dvd rating),https://www.netflix.com/title/70158329,Netflix,13+,'us'
tt0092455,Star Trek: The Next Generation,tvSeries,"Action, Adventure, Drama",8.7,143781.0,1987.0,ts22504,3.0,tous publics::(dvd rating),https://app.primevideo.com/detail?gti=amzn1.dv.gti.da60a6ec-bae0-4b19-9e90-0ddd760c197e,Prime Video,7+,'us'
tt13991232,1883,tvMiniSeries,"Drama, Western",8.7,142856.0,2021.0,ts272606,5.0,16,https://www.netflix.com/title/81559259,Netflix,16+,'us'
tt13991232,1883,tvMiniSeries,"Drama, Western",8.7,142856.0,2021.0,ts272606,5.0,16,https://app.primevideo.com/detail?gti=amzn1.dv.gti.fe88d36d-be1e-4874-b569-c9bc093acecd,Prime Video,16+,'us'
tt0203259,Law & Order: Special Victims Unit,tvSeries,"Crime, Drama, Mystery",8.1,136527.0,1999.0,ts20386,4.0,12::(itunes),https://www.netflix.com/title/70140403,Netflix,16+,'us'
tt0203259,Law & Order: Special Victims Unit,tvSeries,"Crime, Drama, Mystery",8.1,136527.0,1999.0,ts20386,4.0,12::(itunes),https://app.primevideo.com/detail?gti=amzn1.dv.gti.c64bcb34-38b8-4c3a-b553-fef07be7bd39,Prime Video,18+,'us'
tt6226232,Young Sheldon,tvSeries,Comedy,7.7,133005.0,2017.0,ts57131,5.0,tous publics,https://www.netflix.com/title/80192612,Netflix,13+,'us'
tt6226232,Young Sheldon,tvSeries,Comedy,7.7,133005.0,2017.0,ts57131,5.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.2cf21543-71ec-4825-983a-394d40cb88a1,Prime Video,TOUS PUBLICS,'us'
tt0103359,Batman: The Animated Series,tvSeries,"Action, Adventure, Animation",9.0,127075.0,1992.0,ts13503,2.0,tous publics::(dvd rating),https://www.netflix.com/title/70177020,Netflix,7+,'us'
tt0103359,Batman: The Animated Series,tvSeries,"Action, Adventure, Animation",9.0,127075.0,1992.0,ts13503,2.0,tous publics::(dvd rating),https://app.primevideo.com/detail?gti=amzn1.dv.gti.0657de96-cc21-43e7-8407-ee38f23868d1,Prime Video,7+,'us'
tt2294189,The Fall,tvSeries,"Crime, Drama, Thriller",8.1,126207.0,2013.0,ts6001,2.0,16,https://app.primevideo.com/detail?gti=amzn1.dv.gti.f87c71fe-4ec5-4b97-8eff-a55cc6fb0099,Prime Video,16+,'gb'
tt2294189,The Fall,tvSeries,"Crime, Drama, Thriller",8.1,126207.0,2013.0,ts6001,2.0,16,https://www.netflix.com/title/70272726,Netflix,16+,'gb'
tt1305826,Adventure Time,tvSeries,"Action, Adventure, Animation",8.6,123399.0,2010.0,ts10095,4.0,tous publics,https://www.netflix.com/title/70241425,Netflix,10+,"'us', 'hk', 'jp', 'kr', 'de'"
tt1305826,Adventure Time,tvSeries,"Action, Adventure, Animation",8.6,123399.0,2010.0,ts10095,4.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.916bfc81-63f4-465d-84dc-13d694ba918e,Prime Video,7+,"'us', 'hk', 'jp', 'kr', 'de'"
tt10233448,Vinland Saga,tvSeries,"Action, Adventure, Animation",8.8,100516.0,2019.0,ts90311,6.0,13::(self-applied),https://www.netflix.com/title/81249833,Netflix,16+,'jp'
tt10233448,Vinland Saga,tvSeries,"Action, Adventure, Animation",8.8,100516.0,2019.0,ts90311,6.0,13::(self-applied),https://app.primevideo.com/detail?gti=amzn1.dv.gti.0e4a29ad-199f-4cc6-bcbf-6adcffa8b877,Prime Video,18+,'jp'
tt10233448,Vinland Saga,tvSeries,"Action, Adventure, Animation",8.8,100516.0,2019.0,ts90311,6.0,13::(self-applied),https://app.primevideo.com/detail?gti=amzn1.dv.gti.80d4a3ed-21d5-4ed1-b3f4-054b29da3ec2,Prime Video,18+,'jp'
tt0060028,Star Trek,tvSeries,"Action, Adventure, Drama",8.4,97000.0,1966.0,ts21236,3.0,tous publics,https://www.netflix.com/title/70136140,Netflix,7+,'us'
tt0060028,Star Trek,tvSeries,"Action, Adventure, Drama",8.4,97000.0,1966.0,ts21236,3.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.fa4e3e48-23e4-46cb-a45b-29b70d0b5e1d,Prime Video,7+,'us'
tt0112178,Star Trek: Voyager,tvSeries,"Action, Adventure, Drama",7.9,81045.0,1995.0,ts22477,3.0,tous publics,https://www.netflix.com/title/70158331,Netflix,13+,'us'
tt0112178,Star Trek: Voyager,tvSeries,"Action, Adventure, Drama",7.9,81045.0,1995.0,ts22477,3.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.a37b344c-2a43-4fa4-b356-a2163187804a,Prime Video,7+,'us'
tt8690918,Resident Alien,tvSeries,"Comedy, Drama, Mystery",8.1,74942.0,2021.0,ts282248,2.0,10,https://app.primevideo.com/detail?gti=amzn1.dv.gti.dea94ab0-d3de-404b-8246-3d8f83c8f74e,Prime Video,13+,'us'
tt8690918,Resident Alien,tvSeries,"Comedy, Drama, Mystery",8.1,74942.0,2021.0,ts282248,2.0,10,https://www.netflix.com/title/81405070,Netflix,16+,'us'
