id,title,type,genres,averageRating,numVotes,releaseYear,idjw,NbDiff,ClassifImdb,CodePays
tt0944947,Game of Thrones,tvSeries,"Action, Adventure, Drama",9.2,2433876.0,2011.0,ts2,3.0,12,"'us', 'gb'"
tt0903747,Breaking Bad,tvSeries,"Crime, Drama, Thriller",9.5,2331384.0,2008.0,ts4,1.0,tous publics::(with warning),'us'
tt4574334,Stranger Things,tvSeries,"Drama, Fantasy, Horror",8.6,1446016.0,2016.0,ts38796,1.0,16::(self-applied),'us'
tt0108778,Friends,tvSeries,"Comedy, Romance",8.9,1144541.0,1994.0,ts21698,3.0,tous publics,'us'
tt1520211,The Walking Dead,tvSeries,"Drama, Horror, Thriller",8.1,1142193.0,2010.0,ts9,1.0,16,'us'
tt1475582,Sherlock,tvSeries,"Crime, Drama, Mystery",9.0,1048301.0,2010.0,ts21538,2.0,tous publics,"'gb', 'us'"
tt7366338,Chernobyl,tvMiniSeries,"Drama, History, Thriller",9.3,949728.0,2019.0,ts88632,3.0,12,"'us', 'gb'"
tt0898266,The Big Bang Theory,tvSeries,"Comedy, Romance",8.1,908002.0,2007.0,ts12,3.0,tous publics,'us'
tt0773262,Dexter,tvSeries,"Crime, Drama, Mystery",8.6,843967.0,2006.0,ts10620,3.0,12,'us'
tt1190634,The Boys,tvSeries,"Action, Comedy, Crime",8.6,777469.0,2019.0,ts78125,1.0,18,'us'
tt0386676,The Office,tvSeries,Comedy,9.0,775241.0,2005.0,ts21621,2.0,13::(self-applied),'us'
tt0460649,How I Met Your Mother,tvSeries,"Comedy, Drama, Romance",8.3,759250.0,2005.0,ts21483,1.0,tous publics,'us'
tt3032476,Better Call Saul,tvSeries,"Crime, Drama",9.0,732065.0,2015.0,ts8,1.0,tous publics avec avertissement,'us'
tt2442560,Peaky Blinders,tvSeries,"Crime, Drama",8.7,711860.0,2013.0,ts20110,2.0,10::(with warning),'gb'
tt2356777,True Detective,tvSeries,"Crime, Drama, Mystery",8.9,703173.0,2014.0,ts20054,3.0,12,'us'
tt2085059,Black Mirror,tvSeries,"Crime, Drama, Mystery",8.7,693782.0,2011.0,ts278,1.0,16,'gb'
tt10919420,Squid Game,tvSeries,"Action, Drama, Mystery",8.0,663345.0,2021.0,ts220305,1.0,16::(self-applied),'kr'
tt3581920,The Last of Us,tvSeries,"Action, Adventure, Drama",8.6,656337.0,2023.0,ts226904,3.0,16::(self-applied),"'ca', 'us'"
tt2861424,Rick and Morty,tvSeries,"Adventure, Animation, Comedy",9.1,650189.0,2013.0,ts20233,4.0,12,'us'
tt0411008,Lost,tvSeries,"Adventure, Drama, Fantasy",8.3,641221.0,2004.0,ts21848,2.0,tous publics,'us'
tt0455275,Prison Break,tvSeries,"Action, Crime, Drama",8.3,627772.0,2005.0,ts21422,3.0,tous publics,'us'
tt8111088,The Mandalorian,tvSeries,"Action, Adventure, Fantasy",8.6,625351.0,2019.0,ts84392,1.0,tous publics,'us'
tt10048342,The Queen's Gambit,tvMiniSeries,Drama,8.5,617462.0,2020.0,ts89259,1.0,16::(self-applied),'us'
tt2306299,Vikings,tvSeries,"Action, Adventure, Drama",8.5,617302.0,2013.0,ts22413,1.0,12,"'ie', 'ca'"
tt2560140,Attack on Titan,tvSeries,"Action, Adventure, Animation",9.1,610714.0,2013.0,ts20682,5.0,16::(dvd rating),'jp'
tt5180504,The Witcher,tvSeries,"Action, Adventure, Drama",7.9,595564.0,2019.0,ts57327,1.0,16::(self-applied),"'pl', 'hu', 'us', 'gb'"
tt6468322,Money Heist,tvSeries,"Action, Crime, Drama",8.2,571214.0,2017.0,ts56768,1.0,16,'es'
tt0185906,Band of Brothers,tvMiniSeries,"Action, Drama, History",9.4,562005.0,2001.0,ts17149,3.0,tous publics::(with warning),"'gb', 'us'"
tt0412142,House,tvSeries,"Drama, Mystery",8.7,558518.0,2004.0,ts22280,3.0,tous publics,'us'
tt1856010,House of Cards,tvSeries,Drama,8.6,546925.0,2013.0,ts6,1.0,tous publics,'us'
tt0141842,The Sopranos,tvSeries,"Crime, Drama",9.2,524810.0,1999.0,ts20995,3.0,tous publics,'us'
tt1442437,Modern Family,tvSeries,"Comedy, Drama, Romance",8.5,516082.0,2009.0,ts20605,1.0,tous publics,'us'
tt0460681,Supernatural,tvSeries,"Drama, Fantasy, Horror",8.4,511939.0,2005.0,ts21465,3.0,16,'us'
tt3322312,Daredevil,tvSeries,"Action, Crime, Drama",8.6,505792.0,2015.0,ts21903,1.0,18,'us'
tt2707408,Narcos,tvSeries,"Biography, Crime, Drama",8.7,501151.0,2015.0,ts36631,1.0,12,"'us', 'co'"
tt5753856,Dark,tvSeries,"Crime, Drama, Mystery",8.7,491627.0,2017.0,ts55668,1.0,16,"'de', 'us'"
tt11198330,House of the Dragon,tvSeries,"Action, Adventure, Drama",8.3,476235.0,2022.0,ts222558,3.0,12::(self-applied),'us'
tt2193021,Arrow,tvSeries,"Action, Adventure, Crime",7.5,454174.0,2012.0,ts17598,3.0,tous publics,'us'
tt0096697,The Simpsons,tvSeries,"Animation, Comedy",8.6,453543.0,1989.0,ts20711,1.0,tous publics,'us'
tt2802850,Fargo,tvSeries,"Crime, Drama, Thriller",8.8,444888.0,2014.0,ts8345,3.0,tous publics,'us'
tt9140554,Loki,tvSeries,"Action, Adventure, Fantasy",8.2,444297.0,2021.0,ts86474,1.0,12,'us'
tt0877057,Death Note,tvSeries,"Animation, Crime, Drama",8.9,425414.0,2006.0,ts11313,3.0,12::(tv rating),'jp'
tt7631058,The Lord of the Rings: The Rings of Power,tvSeries,"Action, Adventure, Drama",6.9,425217.0,2022.0,ts325752,1.0,13::(self-applied),"'us', 'nz', 'ca'"
tt0121955,South Park,tvSeries,"Animation, Comedy",8.7,422746.0,1997.0,ts21792,5.0,16,'us'
tt13443470,Wednesday,tvSeries,"Comedy, Crime, Fantasy",8.0,416742.0,2022.0,ts274631,1.0,13::(self-applied),'us'
tt0417299,Avatar: The Last Airbender,tvSeries,"Action, Adventure, Animation",9.3,406238.0,2005.0,ts83993,7.0,t,"'us', 'kr'"
tt0306414,The Wire,tvSeries,"Crime, Drama, Thriller",9.3,403330.0,2002.0,ts22047,3.0,tous publics,'us'
tt10986410,Ted Lasso,tvSeries,"Comedy, Drama, Sport",8.8,400684.0,2020.0,ts224087,1.0,tous publics,"'us', 'gb'"
tt9140560,WandaVision,tvMiniSeries,"Action, Comedy, Drama",7.9,396101.0,2021.0,ts86795,1.0,12::(self-applied),'us'
tt11126994,Arcane,tvSeries,"Action, Adventure, Animation",9.0,395339.0,2021.0,ts222333,1.0,16::(self-applied),"'us', 'fr'"
tt2467372,Brooklyn Nine-Nine,tvSeries,"Comedy, Crime",8.4,394037.0,2013.0,ts11174,1.0,tous publics,'us'
tt7767422,Sex Education,tvSeries,"Comedy, Drama, Romance",8.2,378893.0,2019.0,ts82915,1.0,16,'gb'
tt0182576,Family Guy,tvSeries,"Animation, Comedy",8.1,377464.0,1999.0,ts3,1.0,10,'us'
tt3107288,The Flash,tvSeries,"Action, Adventure, Drama",7.5,376981.0,2014.0,ts11188,1.0,tous publics,'us'
tt4052886,Lucifer,tvSeries,"Crime, Drama, Fantasy",8.0,375645.0,2016.0,ts36147,1.0,10,'us'
tt5071412,Ozark,tvSeries,"Crime, Drama, Thriller",8.5,370020.0,2017.0,ts53864,1.0,16,'us'
tt1796960,Homeland,tvSeries,"Crime, Drama, Mystery",8.3,369549.0,2011.0,ts10,1.0,12,'us'
tt0098904,Seinfeld,tvSeries,Comedy,8.9,368875.0,1989.0,ts20681,1.0,tous publics::(dvd rating),'us'
