,id,title,type,averageRating,numVotes,releaseYear,idjw,NbDiff,ClassifImdb,Diffuseur,SVOD,ClassificationSVOD,ValNudite,ScoreNudite,ValViolence,ScoreViolence,ValVulgarite,ScoreVulgarite,ValStupefiants,ScoreStupefiants,ValIntensite,ScoreIntensite,CP_ar,CP_at,CP_au,CP_be,CP_br,CP_ca,CP_cl,CP_cn,CP_co,CP_cz,CP_de,CP_dk,CP_eg,CP_es,CP_fi,CP_fr,CP_gb,CP_gr,CP_hk,CP_hu,CP_id,CP_ie,CP_il,CP_in,CP_is,CP_it,CP_jo,CP_jp,CP_kp,CP_kr,CP_mt,CP_mx,CP_my,CP_nl,CP_no,CP_nz,CP_ph,CP_pl,CP_ru,CP_se,CP_th,CP_tr,CP_tw,CP_us,CP_za,Genre_action,Genre_adventure,Genre_animation,Genre_biography,Genre_comedy,Genre_crime,Genre_documentary,Genre_drama,Genre_family,Genre_fantasy,Genre_game-show,Genre_history,Genre_horror,Genre_music,Genre_musical,Genre_mystery,Genre_news,Genre_reality-tv,Genre_romance,Genre_sci-fi,Genre_short,Genre_sport,Genre_talk-show,Genre_thriller,Genre_war,Genre_western,DureeEp,classifJW,ScoreParent
0,tt0944947,Game of Thrones,tvSeries,9.2,2433876.0,2011.0,ts2,3.0,12,https://app.primevideo.com/detail?gti=amzn1.dv.gti.eeb636ff-9e45-9d69-b5f3-91dd85e00fd4,Prime Video,18+,Élevé,87.51,Élevé,91.7,Élevé,83.58,Modéré,37.73,Élevé,81.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,12.0,65.0
1,tt0944947,Game of Thrones,tvSeries,9.2,2433876.0,2011.0,ts2,3.0,12,https://www.mycanal.fr/series/game-of-thrones/h/40425877_50889,MyCanal,-16,Élevé,87.51,Élevé,91.7,Élevé,83.58,Modéré,37.73,Élevé,81.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,12.0,65.0
2,tt0944947,Game of Thrones,tvSeries,9.2,2433876.0,2011.0,ts2,3.0,12,https://play.max.com/video/watch/83eca32a-12d2-4e05-8245-e17855c9e390?utm_source=universal_search,MAX,,Élevé,87.51,Élevé,91.7,Élevé,83.58,Modéré,37.73,Élevé,81.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,12.0,65.0
3,tt0903747,Breaking Bad,tvSeries,9.5,2331384.0,2008.0,ts4,1.0,tous publics::(with warning),https://www.netflix.com/title/70143836,Netflix,16+,Modéré,39.08,Élevé,78.33,Modéré,56.35,Élevé,93.39,Élevé,73.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,47,16.0,65.0
4,tt4574334,Stranger Things,tvSeries,8.6,1446016.0,2016.0,ts38796,1.0,16::(self-applied),https://www.netflix.com/title/80057281,Netflix,16+,Faible,59.76,Élevé,50.02,Modéré,58.45,Faible,65.56,Élevé,52.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,61,16.0,35.0
5,tt0108778,Friends,tvSeries,8.9,1144541.0,1994.0,ts21698,3.0,tous publics,https://play.max.com/video/watch/0e33e070-5a45-425a-b655-9d7a7a6658ba?utm_source=universal_search,MAX,,Faible,47.62,Aucun,84.12,Faible,63.86,Faible,73.27,Aucun,85.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,tous publics,15.0
6,tt0108778,Friends,tvSeries,8.9,1144541.0,1994.0,ts21698,3.0,tous publics,https://www.mycanal.fr/series/friends/h/40492180_50889,MyCanal,-10,Faible,47.62,Aucun,84.12,Faible,63.86,Faible,73.27,Aucun,85.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,tous publics,15.0
7,tt0108778,Friends,tvSeries,8.9,1144541.0,1994.0,ts21698,3.0,tous publics,https://app.primevideo.com/detail?gti=amzn1.dv.gti.784c2427-0f15-4da4-8949-aa9bf384be68,Prime Video,TOUS PUBLICS,Faible,47.62,Aucun,84.12,Faible,63.86,Faible,73.27,Aucun,85.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,tous publics,15.0
8,tt1520211,The Walking Dead,tvSeries,8.1,1142193.0,2010.0,ts9,1.0,16,https://www.netflix.com/title/70177057,Netflix,18+,Faible,50.99,Élevé,92.38,Modéré,55.71,Faible,72.21,Élevé,86.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,46,16.0,75.0
9,tt1475582,Sherlock,tvSeries,9.0,1048301.0,2010.0,ts21538,2.0,tous publics,https://www.netflix.com/title/70202589,Netflix,13+,Faible,53.92,Modéré,60.76,Faible,71.47,Modéré,63.7,Modéré,59.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,88,12.0,15.0
