,id,title,type,genres,averageRating,numVotes,releaseYear,idjw,NbDiff,Diff
0,tt0944947,Game of Thrones,tvSeries,"Action, Adventure, Drama",9.2,2433876.0,2011.0,ts2,3.0,"['https://app.primevideo.com/detail?gti=amzn1.dv.gti.eeb636ff-9e45-9d69-b5f3-91dd85e00fd4', 'https://play.max.com/video/watch/83eca32a-12d2-4e05-8245-e17855c9e390?utm_source=universal_search', 'https://www.mycanal.fr/series/game-of-thrones/h/40425877_50889']"
1,tt0903747,Breaking Bad,tvSeries,"Crime, Drama, Thriller",9.5,2331384.0,2008.0,ts4,1.0,['https://www.netflix.com/title/70143836']
2,tt4574334,Stranger Things,tvSeries,"Drama, Fantasy, Horror",8.6,1446016.0,2016.0,ts38796,1.0,['https://www.netflix.com/title/80057281']
3,tt0108778,Friends,tvSeries,"Comedy, Romance",8.9,1144541.0,1994.0,ts21698,3.0,"['https://app.primevideo.com/detail?gti=amzn1.dv.gti.784c2427-0f15-4da4-8949-aa9bf384be68', 'https://www.mycanal.fr/series/friends/h/40492180_50889', 'https://play.max.com/video/watch/0e33e070-5a45-425a-b655-9d7a7a6658ba?utm_source=universal_search']"
4,tt1520211,The Walking Dead,tvSeries,"Drama, Horror, Thriller",8.1,1142193.0,2010.0,ts9,1.0,['https://www.netflix.com/title/70177057']
5,tt1475582,Sherlock,tvSeries,"Crime, Drama, Mystery",9.0,1048301.0,2010.0,ts21538,2.0,"['https://www.netflix.com/title/70202589', 'https://app.primevideo.com/detail?gti=amzn1.dv.gti.25fbee69-ed93-4cca-bab4-c8f9f4d3f998']"
6,tt7366338,Chernobyl,tvMiniSeries,"Drama, History, Thriller",9.3,949728.0,2019.0,ts88632,3.0,"['https://play.max.com/video/watch/21acd328-6298-4928-bb08-e926d776f63d?utm_source=universal_search', 'https://www.mycanal.fr/series/chernobyl/h/40436206_50889', 'https://app.primevideo.com/detail?gti=amzn1.dv.gti.e64942d3-2bb8-438f-adb2-3e5c2b4f48b2']"
7,tt0898266,The Big Bang Theory,tvSeries,"Comedy, Romance",8.1,908002.0,2007.0,ts12,3.0,"['https://www.mycanal.fr/series/the-big-bang-theory/h/40422267_50889', 'https://app.primevideo.com/detail?gti=amzn1.dv.gti.87e8bf22-e8c4-4b2a-9bcb-3b809deaf055', 'https://play.max.com/video/watch/da61aef2-e4b6-441a-b2aa-91855ca05dad?utm_source=universal_search']"
8,tt0773262,Dexter,tvSeries,"Crime, Drama, Mystery",8.6,843967.0,2006.0,ts10620,4.0,"['https://www.canalplus.com/series/dexter/h/4444024_50254', 'https://tv.apple.com', 'https://www.paramountplus.com/shows/dexter/video/_1ssUsDXSuoUUyItv1b5sLDoihEEC6v0/dexter-dexter?searchReferral=', 'https://www.primevideo.com/detail/0MZFO9CZW2OOYPKLWW8P6NKD0O']"
9,tt1190634,The Boys,tvSeries,"Action, Comedy, Crime",8.6,777469.0,2019.0,ts78125,1.0,['https://app.primevideo.com/detail?gti=amzn1.dv.gti.9ab600aa-6625-b547-cfc0-190e3ad8a27d']
10,tt0386676,The Office,tvSeries,Comedy,9.0,775241.0,2005.0,ts21621,1.0,['https://app.primevideo.com/detail?gti=amzn1.dv.gti.8c337291-856f-4d51-a86e-153c28acc191']
11,tt0460649,How I Met Your Mother,tvSeries,"Comedy, Drama, Romance",8.3,759250.0,2005.0,ts21483,1.0,['https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fhow-i-met-your-mother%2F3kpBeRQiKjkq&subId3=justappsvod']
12,tt3032476,Better Call Saul,tvSeries,"Crime, Drama",9.0,732065.0,2015.0,ts8,1.0,['https://www.netflix.com/title/80021955']
13,tt2442560,Peaky Blinders,tvSeries,"Crime, Drama",8.7,711860.0,2013.0,ts20110,2.0,"['https://www.netflix.com/title/80002479', 'https://app.primevideo.com/detail?gti=amzn1.dv.gti.24b8776e-16e0-e3e3-67e8-b144e97d7728']"
14,tt2356777,True Detective,tvSeries,"Crime, Drama, Mystery",8.9,703173.0,2014.0,ts20054,3.0,"['https://app.primevideo.com/detail?gti=amzn1.dv.gti.8b96ae49-3860-49a5-8d15-7bd50c2ef008', 'https://play.max.com/video/watch/f61493d3-3adf-4b4a-b87d-563d377a88ac?utm_source=universal_search', 'https://www.mycanal.fr/series/true-detective/h/40439553_50889']"
